Original,Translate_IT
Così discesi del cerchio primaio,"Così scese dal primo cerchio al secondo,"
"giù nel secondo, che men loco cinghia","La stanza più piccola, ma il guaio più grande circonda,"
"e tanto più dolor, che punge a guaio.",Questo spinge a diffondere la lagnanza e l'incesto.
"Stavvi Minòs orribilmente, e ringhia:","Grigio è lì, Minosse, leva i denti e porta"
essamina le colpe ne l'intrata;,Il senso di colpa per la sua mancanza profonda...
giudica e manda secondo ch'avvinghia.,"Giudicate, mandate via come si sta intrappolando."
Dico che quando l'anima mal nata,"Io dico, quando l'anima cattiva"
"li vien dinanzi, tutta si confessa;",A Lui confessa il peso dei peccati;
e quel conoscitor de le peccata,"E quel conoscitore di tutti i difetti dell'uomo,"
vede qual loco d'inferno è da essa;,"Vedete qual è il luogo dell'abisso adatto a quelli,"
cignesi con la coda tante volte,"E mandateli all'inferno,"
quantunque gradi vuol che giù sia messa.,Quante volte si abbraccia con la coda.
Sempre dinanzi a lui ne stanno molte:,"La soglia è sempre occupata da molti,"
"vanno a vicenda ciascuna al giudizio,","E progressivamente, tutti vengono in tribunale,"
dicono e odono e poi son giù volte.,"Parla, ascolta e si affretta al punto specifico."
"“O tu che vieni al doloroso ospizio”,","""Tu che vai in questa casa di tormento,"""
"disse Minòs a me quando mi vide,","Così Minosse mi chiamò quando mi vide,"
"lasciando l'atto di cotanto offizio,",E ha lasciato l'esercizio di grande dovere;
“guarda com'entri e di cui tu ti fide;,"""Guarda chi ti fidi, è facile entrare,"
non t'inganni l'ampiezza de l'intrare!”.,"Ma non ingannare te stesso con un'ardente spinta."""
E 'l duca mio a lui: “Perché pur gride?,"Il mio capo dice: ""Lascia che ti perda il rancore!"
Non impedir lo suo fatale andare:,"Non disprezzare il passo comandato da Dio,"
vuolsi così colà dove si puote,Là si vuole dove l'abilità è simile al volere.
"ciò che si vuole, e più non dimandare”.","Non più chiesto, perché la nostra strada è lunga."""
Or incomincian le dolenti note,"Presto udrò il suono di un lamento,"
a farmisi sentire; or son venuto,"Perche' mi sono prostrata in quella casa,"
là dove molto pianto mi percuote.,Alla lagnanza e alle urla degli sfortunati.
"Io venni in loco d'ogne luce muto,","Ogni luce si spegne nell'oscuro grigio,"
"che mugghia come fa mar per tempesta,","Che urlava, come quando si alzava la tempesta,"
se da contrari venti è combattuto.,Nella lotta dei venti di mare rumoroso.
"La bufera infernal, che mai non resta,",Il vento dell'inferno non riposa mai
mena li spirti con la sua rapina;,E strappate gli spiriti al loro tormento
voltando e percotendo li molesta.,E gira verso il basso e verso l'alto.
"Quando giungon davanti a la ruina,","Le loro urla, le loro urla e le loro lamentele,"
"quivi le strida, il compianto, il lamento;","Avvicinatevi alle rovine rocciose,"
bestemmian quivi la virtù divina.,Infrangendo la virtù di Dio là.
Intesi ch'a così fatto tormento,"Che i peccatori della carne sopportino questo,"
"enno dannati i peccator carnali,","Sentii quelli che, allettati dalla follia,"
che la ragion sommettono al talento.,Un tempo la ragione era sottomessa alle concupiscenze.
E come li stornei ne portan l'ali,"Come in inverno, con un volo pazzesco"
"nel freddo tempo, a schiera larga e piena,","Una grande consolazione di Staren,"
così quel fiato li spiriti mali,Così ho visto qui nella tempesta del treno peccatore
"di qua, di là, di giù, di sù li mena;","qua e là, salite, scendete,"
"nulla speranza li conforta mai,","Non c'e' speranza rinforzata, minimo dolore,"
"non che di posa, ma di minor pena.",Per non parlare mai di sapere la pace.
"E come i gru van cantando lor lai,","Come gru, filate lungo la striscia"
"faccendo in aere di sé lunga riga,","In aria alta le lamentele graffiano,"
"così vid'io venir, traendo guai,",Così ho visto dalla tempesta la violenza
ombre portate da la detta briga;,Le ombre sventolano con un gemito appiccicoso.
"per ch'i' dissi: “Maestro, chi son quelle","""Chi sono, maestri, che qua e là"
genti che l'aura nera sì gastiga?”.,"L'uragano soffia e si calma?"""
“La prima di color di cui novelle,"Così io e lui: ""La guida del treno,"
"tu vuo' saper”, mi disse quelli allotta,","Da quale desiderate ascoltare il rapporto,"
“fu imperadrice di molte favelle.,Era grande imperatrice di molte lingue.
"A vizio di lussuria fu sì rotta,","Così si lasciò ingannare da Wollust,"
"che libito fé licito in sua legge,",Che ha inventato la legge per il desiderio.
per tòrre il biasmo in che era condotta.,Per evitare il biasimo profondo.
"Ell' è Semiramìs, di cui si legge","E' Semiramis, come tutti sanno,"
che succedette a Nino e fu sua sposa:,"successore del Nino, suo marito,"
tenne la terra che 'l Soldan corregge.,Un tempo regnava nella città e nella terra del Sultano.
"L'altra è colei che s'ancise amorosa,","Poi lei, l'infedele ombra di Siceo,"
e ruppe fede al cener di Sicheo;,"Per amore stesso consacrato alla morte"""
poi è Cleopatràs lussurïosa.,"Guarda Cleopatra affaticato in volo."""
"Elena vedi, per cui tanto reo","Anche Helena, l'Ursach, la grande afflizione,"
"tempo si volse, e vedi 'l grande Achille,","Nella tempesta ho visto l'Achill alzarsi,"
che con amore al fine combatteo.,"Che ha offerto tutto, ma non l'amore."
