Original,Translate_EN,Translate_IT_1
"Molto le va Venùs minacciando,","Venus threatens these two a lot,","Venere minaccia questi due molto,"
"Diciendo, s’e’ no•rendono il castello,","saying that, if they don't surrender the castle,","dicendo questo, se non consegnano il castello,"
"Ched ella metterà fuoco al fornello,","then she’ll set their burners on fire,","poi lei ha dato fuoco ai loro fuochi,"
Sì che per forza le n’andrà cacciando;,so that she will surely drive them out.,perché li scacci.
"E disse: «A .m. diavoli v’acomando,",She said: “To a thousand devils I commend anyone,"Disse: ""A mille diavoli raccomando a chiunque"
"Chi Amor fugie, e fosse mi’ fratello!","who flees from love, even if it were my own brother!","che fugge dall'amore, anche se fosse mio fratello!"
"Per Dio, i’ le farò tener bordello","By God, all those who put up resistance to Love","Per Dio, tutti coloro che hanno messo resistenza all'Amore"
"Color, che l’Amor vanno sì schifando:",I’ll turn them into whores.,Li trasformerò in puttane.
Chéd e’ non è più gioia che ben amare.,For there’s no greater joy than loving well.,Per là non è gioia più grande di amare bene.
"Rendetemi il castel,   o veramente","Surrender the castle to me, or truly","Arrendete il castello a me, o veramente"
I’ ’l farò imantenente   giù versare;,I’ll have it quickly destroyed;,L'ho fatto distruggere rapidamente.
"E poi avremo il Fior ciertanamente,","and then we’ll certainly take the Flower,","e poi certamente prenderemo il Fiore,"
"E sì ’l faremo in tal modo sfogliare,",and have it deflowered in such a way,e farlo deflorare in tal modo
Che poi non fia vetato a nulla gente!».,that it will no longer be off limits to any one.”,che non sarà più off limits a nessuno.
