Original,Translate_IT
“Chi è costui che 'l nostro monte cerchia,"Chi è dunque costui, che fa il giro del monte"
"prima che morte li abbia dato il volo,","prima che con la sua mano la morte lo spinga,"
e apre li occhi a sua voglia e coverchia?”.,"e chi, come vuole, abbassa e solleva le ciglia?”"
"“Non so chi sia, ma so ch'e' non è solo;",“Non lo conosco; sento che non è solo;
"domandal tu che più li t'avvicini,","Chiedilo a lui, perché è vicino a te."
"e dolcemente, sì che parli, acco'lo”.","“Prendilo piano, per farlo parlare!”"
"Così due spirti, l'uno a l'altro chini,","Così dicevano più avanti due anime, piegandosi"
ragionavan di me ivi a man dritta;,"l’una verso l’altra, a destra e al di là di noi;"
"poi fer li visi, per dirmi, supini;","alzando il viso per parlare con me,"
e disse l'uno: “O anima che fitta,Una di loro mi disse: “Anima che va così
"nel corpo ancora inver' lo ciel ten vai,","verso il Cielo, mantenendo tutti i legami del corpo,"
per carità ne consola e ne ditta,voglia per carità consolarci e dire
onde vieni e chi se'; ché tu ne fai,da dove vieni? chi sei tu? perché ci hai prodotto
"tanto maravigliar de la tua grazia,","più grande meraviglia, con la tua grazia,"
quanto vuol cosa che non fu più mai”.,che nessun altro miracolo precedentemente conosciuto”.
E io: “Per mezza Toscana si spazia,"Quando dico: ""Nel mezzo della Toscana passa"
"un fiumicel che nasce in Falterona,",un corso d'acqua che inizia con Falterone
e cento miglia di corso nol sazia.,e percorre almeno cento miglia di cammino.
Di sovr'esso rech'io questa persona:,Io porto dalla sua parte quella carne che ecco;
"dirvi ch'i' sia, saria parlare indarno,",Dire chi sono è parlare senza dire nulla.
ché 'l nome mio ancor molto non suona”.,"perché, fino ad ora, il mio nome non è conosciuto»."
“Se ben lo 'ntendimento tuo accarno,“Se la mia intelligenza riesce a cogliere bene
"con lo 'ntelletto”, allora mi rispuose","il senso del tuo discorso, mi rispose allora"
"quei che diceva pria, “tu parli d'Arno”.","Il primo degli spiriti, tu parli dell’Arno”."
E l'altro disse lui: “Perché nascose,E l’altro aggiunge: “Ma perché dunque quest’uomo
"questi il vocabol di quella riviera,","Gli piace meglio nascondere il nome del fiume,"
pur com'om fa de l'orribili cose?”.,Come se si trattasse di un oggetto ripugnante?”
"E l'ombra che di ciò domandata era,",L’ombra a cui sembrava rivolgere la richiesta
si sdebitò così: “Non so; ma degno,"Rispose: “Non lo so, ma mi sembra giusto."
ben è che 'l nome di tal valle pèra;,"che il nome di un fiume del genere scompaia per sempre,"
"ché dal principio suo, ov'è sì pregno","dalla sua sorgente, dove la catena dei monti"
"l'alpestro monte ond'è tronco Peloro,","da cui si stacca alla fine Pelore, si gonfia e cresce"
"che 'n pochi luoghi passa oltra quel segno,","così in alto che pochi posti potrebbero superarlo,"
infin là 've si rende per ristoro,e fino alla foce dove il mare recupera
"di quel che 'l ciel de la marina asciuga,",l’elemento che il cielo si asciuga dalla sua superficie
"ond'hanno i fiumi ciò che va con loro,","e che forma il corpo di tutti i fiumi,"
vertù così per nimica si fuga,"Si fugge come un serpente la virtù, che si tiene"
"da tutti come biscia, o per sventura","per nemico, a causa o a causa di un maleficio"
"del luogo, o per mal uso che li fruga:","che si attacca a questi luoghi, o dei cattivi costumi,"
ond'hanno sì mutata lor natura,Cambiando così tanto la natura
"li abitator de la misera valle,","di tutti gli abitanti di queste tristi valli,"
che par che Circe li avesse in pastura.,Sembra che il loro pastro sia lo stesso Circe.
"Tra brutti porci, più degni di galle","Tra i maiali sporchi, a cui le ghiande sono adatte"
"che d'altro cibo fatto in uman uso,","migliore di nessun alimento concepito per gli esseri umani,"
dirizza prima il suo povero calle.,Prima di tutto guida il suo modesto cammino.
"Botoli trova poi, venendo giuso,","Più avanti, scendendo, trova dei rocchetti."
"ringhiosi più che non chiede lor possa,","che sanno abbaiare più di quanto possano mordere,"
e da lor disdegnosa torce il muso.,"e allontana da loro il suo muso, per disdegno."
"Vassi caggendo; e quant'ella più 'ngrossa,","Si abbassa più in basso, e più diventa grande,"
tanto più trova di can farsi lupi,"più vede i cani trasformarsi in lupi,"
la maladetta e sventurata fossa.,questa fogna di sventura e maledizione.
"Discesa poi per più pelaghi cupi,","Quando finalmente arriva alle terre più basse,"
"trova le volpi sì piene di froda,","trova volpi piene di tale furba,"
che non temono ingegno che le occùpi.,che nessun ordigno conosciuto li può catturare.
Né lascerò di dir perch'altri m'oda;,"Non lascerò che dica, e che mi sentano:"
"e buon sarà costui, s'ancor s'ammenta","Questo uomo farà bene a non dimenticare,"
di ciò che vero spirto mi disnoda.,"più tardi, ciò che mi ispira lo spirito della verità."
Io veggio tuo nepote che diventa,Vedo tuo nipote che sta diventando
cacciator di quei lupi in su la riva,"il cacciatore di questi lupi, laggiù, sui bordi stessi"
"del fiero fiume, e tutti li sgomenta.","di questo fiume selvaggio, e metterli nell'abisso."
Vende la carne loro essendo viva;,"Mi sembra di vederlo che vende la loro carne in piedi,"
poscia li ancide come antica belva;,"in fulvo che conosce il suo mestiere, e li uccide,"
molti di vita e sé di pregio priva.,"e, privandoli di vita, si priva d’onore."
Sanguinoso esce de la trista selva;,"Egli esce pieno di sangue dalla triste foresta,"
"lasciala tal, che di qui a mille anni","che lascia in tale stato, che anche tra mille anni"
ne lo stato primaio non si rinselva”.,Non si può più rimboschire come prima”.
Com'a l'annunzio di dogliosi danni,Come nel caso in cui si prevedano danni futuri.
"si turba il viso di colui ch'ascolta,","Colui che li ascolta in dimore afflitte,"
"da qual che parte il periglio l'assanni,","qualunque sia il pericolo che può minacciarlo,"
"così vid'io l'altr'anima, che volta","così vidi l’altro spirito, che si era voltato,"
"stava a udir, turbarsi e farsi trista,","per udire meglio, rabbrividire e turbarsi,"
poi ch'ebbe la parola a sé raccolta.,Non appena ha sentito la fine di questo discorso.
Lo dir de l'una e de l'altra la vista,Le parole dell’uno e il mantenimento dell’altro
"mi fer voglioso di saper lor nomi,","mi rendevano curioso di conoscere i loro nomi,"
e dimanda ne fei con prieghi mista;,"che io domandai loro, pregandoli umilmente."
per che lo spirto che di pria parlòmi,Colui che per primo mi ha parlato.
ricominciò: “Tu vuo' ch'io mi deduca,Rispose: «Così dunque vorresti che per te
nel fare a te ciò che tu far non vuo'mi.,Io faccio quello che tu non hai fatto per noi.
Ma da che Dio in te vuol che traluca,Ma dal momento in cui Dio fa risplendere in te
"tanto sua grazia, non ti sarò scarso;","della sua grazia lo splendore, io non sarò scemo:"
però sappi ch'io fui Guido del Duca.,Il mio nome è Guido del Duca.
"Fu il sangue mio d'invidia sì rïarso,","Un desiderio così forte avvelenava il mio sangue,"
"che se veduto avesse uom farsi lieto,","che, non appena osservavo segni di allegrezza,"
visto m'avresti di livore sparso.,A casa di qualcuno si vedeva il mio volto impallidire.
Di mia semente cotal paglia mieto;,Da ciò che ho seminato tu puoi vedere la mietitura.
"o gente umana, perché poni 'l core","O uomo, perché scegli i tuoi piaceri?"
là 'v'è mestier di consorte divieto?,In modo da tenere gli altri in disparte?
Questi è Rinier; questi è 'l pregio e l'onore,"Questo è Renier, l'ornamento e l'onore"
"de la casa da Calboli, ove nullo","Calboli, casa di cui nessun discendente"
fatto s'è reda poi del suo valore.,"Non ha saputo, dalla sua morte, ereditare le sue virtù."
"E non pur lo suo sangue è fatto brullo,","Dalle montagne al Po, dal mare a Reno,"
"tra 'l Po e 'l monte e la marina e 'l Reno,",Il suo sangue non è l’unico dove si è dissolto.
del ben richesto al vero e al trastullo;,quel bene che ci acquista la felicità e il vero;
ché dentro a questi termini è ripieno,perché da capo a fondo la terra è invasa
"di venenosi sterpi, sì che tardi","di piante velenose, ed è solo a gran pena"
per coltivare omai verrebber meno.,"che si può, con il lavoro, farli strappare."
Ov'è 'l buon Lizio e Arrigo Mainardi?,"Dove sono il buon Lizio e Henri Mainardi,"
Pier Traversaro e Guido di Carpigna?,Pierro Traversaro e Guido de Carpigne?
Oh Romagnuoli tornati in bastardi!,"Siete diventati, romagnoli, bastardi!"
Quando in Bologna un Fabbro si ralligna?,"Quando vedremo ancora un Fabbro a Bologna,"
"quando in Faenza un Bernardin di Fosco,","o un Bernardino di Fosco in Faience,"
verga gentil di picciola gramigna?,La grande e nobile pianta dai semi abortiti?
"Non ti maravigliar s'io piango, Tosco,","Non stupirti se piango, o Toscano,"
"quando rimembro, con Guido da Prata,",Quando mi ricordo di Guido de Prata
"Ugolin d'Azzo che vivette nosco,","Ugolino d'Azzo, che fu del mio tempo,"
"Federigo Tignoso e sua brigata,","Federico il Teigneux con tutti i suoi amici,"
la casa Traversara e li Anastagi,"la casa Traversare e gli Anastagi,"
"(e l'una gente e l'altra è diretata),",i cui due nomi si sono ugualmente spenti;
"le donne e ' cavalier, li affanni e li agi","dame e cavalieri, piaceri e avventure"
che ne 'nvogliava amore e cortesia,che Amore e Cortoisia ci offrivano
là dove i cuor son fatti sì malvagi.,nel paese dove i cuori sono diventati bastardi.
"O Bretinoro, ché non fuggi via,","Perche', Brettinoro, non sparisci?"
poi che gita se n'è la tua famiglia,"poiché se ne sono andati i tuoi antichi castellani,"
e molta gente per non esser ria?,"con molti dei loro, per morire senza sgombero?"
"Ben fa Bagnacaval, che non rifiglia;",Bagnacaval fa bene a non generare più;
"e mal fa Castrocaro, e peggio Conio,","Castrocaro fa male, Conia peggio ancora,"
che di figliar tai conti più s'impiglia.,che perpetuano la razza di tali conti.
"Ben faranno i Pagan, da che 'l demonio","I Pagan farebbero meglio a smettere, quando il loro diavolo"
lor sen girà; ma non però che puro,"terminerà il suo tempo, ma senza"
già mai rimagna d'essi testimonio.,Da loro non si conserva mai un ricordo migliore.
"O Ugolin de' Fantolin, sicuro","Per te stesso, Ugolin di Fantolin, il tuo nome"
"è 'l nome tuo, da che più non s'aspetta","non temere più nulla, perché nessuno rimane,"
"chi far lo possa, tralignando, scuro.",che lo possa oscurare con qualche fornicazione.
"Ma va via, Tosco, omai; ch'or mi diletta","Ma vattene ora, Toscano, anche se le lacrime,"
"troppo di pianger più che di parlare,","molto più dei discorsi, sono fatti per piacermi,"
sì m'ha nostra ragion la mente stretta”.,Queste parole mi hanno oppresso il cuore!”
Noi sapavam che quell'anime care,Sapevamo entrambi che questi spiriti amati
"ci sentivano andar; però, tacendo,",ci sentivano camminare; fu dunque il loro silenzio
facëan noi del cammin confidare.,che ci ha confermato la scelta della nostra strada.
"Poi fummo fatti soli procedendo,","A malapena abbiamo fatto qualche passo oltre,"
"folgore parve quando l'aere fende,","che all’improvviso, spezzando l’aria più velocemente del fulmine,"
voce che giunse di contra dicendo:,una voce risuonava potentemente davanti a noi:
'Anciderammi qualunque m'apprende';,“Chiunque mi afferri potrà uccidermi!”
"e fuggì come tuon che si dilegua,","che si cancella subito, come un colpo di tuono"
se sùbito la nuvola scoscende.,che si muove all’improvviso attraverso le nuvole.
"Come da lei l'udir nostro ebbe triegua,","Il suo rumore si era appena spento nelle mie orecchie,"
