Original,Translate_EN,Translate_IT_1
«Di trareti d’amar nonn-è mia ’ntenza»,"“It is not my intention to keep you from loving,”","Non è mia intenzione impedirvi di amare,"
"Disse Ragion «né da•cciò non ti butto,","said Reason, “nor do I want to discourage you from it,","ha detto Ragione, né voglio scoraggiarvi da esso,"
"Ch’i’ vo’ ben che•ttu ami il mondo tutto,","for I want you to love dearly the whole world,","perché voglio che amiate il mondo intero,"
Fermando in Giesocristo tu’ credenza.,reinforcing your belief in Jesus Christ.,rafforzare la vostra fede in Gesù Cristo.
"E s’ad alcuna da’ tua benvoglienza,","And if you give your love to someone,","E se dai il tuo amore a qualcuno,"
"Non vo’ che•ll’ami sol per lo ditutto,",I don’t want you to love her only for pleasure,Non voglio che tu la ami solo per piacere.
"Né per diletto,   ma per trarne frutto:","or for delight, but to draw fruit from the relationship,","o per delizia, ma per trarre frutto dal rapporto,"
"Ché, chi altro ne vuol, chade in sentenza.",because whoever wishes a different end falls into sin.,perché chi vuole un'altra fine cade nel peccato.
"Ver è ch’egli à in quel’opera diletto,","It’s true that there is great delight in that act,","E 'vero che vi è grande gioia in quell'atto,"
"Che Natura vi mise per richiamo,","which Nature put there as a lure,","che la natura vi ha messo come esca,"
"Per più sovente star con esse in letto,",in order for men to go to bed with women more often.,perche' gli uomini vadano piu' spesso a letto con le donne.
"Ché, se ciò non vi fose, ben sapiamo","And if it were not so, we well know","E se non fosse così, sappiamo bene"
Che poca giente porebe già petto,that few people would engage,che poche persone si impegnerebbero
"Al lavorio, che cominciò Adamo».",in the labor that Adam first began.”,nel lavoro che Adamo ha iniziato per la prima volta.
