Original,Translate_IT
"”Pape Satàn, pape Satàn aleppe!","""Papa Satana, Pape Satana, Aleppe!"""
", cominciò Pluto con la voce chioccia;",Iniziò così Plutus con la sua voce appiccicosa;
"e quel savio gentil, che tutto seppe,","E quel saggio benigno, che tutto sapeva,"
disse per confortarmi: “Non ti noccia,"Disse: ""Non temere"
"la tua paura; ché, poder ch'elli abbia,","Harm te, per qualsiasi potere che egli può avere"
non ci torrà lo scender questa roccia”.,"Non impedirti di scendere in questa falesia."""
"Poi si rivolse a quella 'nfiata labbia,","Poi si voltò verso quel labbro gonfio,"
"e disse: “Taci, maladetto lupo!","E disse: ""Taci, maledetto lupo,"
consuma dentro te con la tua rabbia.,Consuma dentro di te la tua rabbia.
Non è sanza cagion l'andare al cupo:,Questo viaggio verso l'abisso non è insensato;
"vuolsi ne l'alto, là dove Michele","Così è voluto in alto, dove Micael ha lavorato"
fé la vendetta del superbo strupo”.,"Vendetta sull'orgoglioso adulterio."""
Quali dal vento le gonfiate vele,Anche le vele gonfiate dal vento
"caggiono avvolte, poi che l'alber fiacca,","Coinvolti insieme cadono quando scatta l'albero,"
tal cadde a terra la fiera crudele.,Così è caduto il mostro crudele sulla terra.
"Così scendemmo ne la quarta lacca,","Così scendemmo nel quarto abisso,"
pigliando più de la dolente ripa,Guadagnando ancora più lontano sulla costa dolesome
che 'l mal de l'universo tutto insacca.,Che tutto il dolore dell'universo insacks.
Ahi giustizia di Dio! tante chi stipa,"Giustizia di Dio, ah! che accumula tanti"
nove travaglie e pene quant'io viddi?,Nuovi sforzi e sofferenze come ho visto?
e perché nostra colpa sì ne scipa?,E perche' la nostra trasgressione ci fa perdere cosi' tanto?
"Come fa l'onda là sovra Cariddi,","Come il disegno di legge su Charybdis,"
"che si frange con quella in cui s'intoppa,","che si rompe su ciò che incontra,"
così convien che qui la gente riddi.,Quindi qui la gente deve ballare il suo roundelay.
"Qui vid'i' gente più ch'altrove troppa,","Qui ho visto persone, più che altrove, molte,"
"e d'una parte e d'altra, con grand' urli,","Da un lato e dall'altro, con grandi urla,"
voltando pesi per forza di poppa.,Pesi di rotolamento in avanti con la forza principale del torace.
Percotëansi 'ncontro; e poscia pur lì,"Si scontrarono insieme, e poi a quel punto"
"si rivolgea ciascun, voltando a retro,","Ognuno girato indietro, ruotando retrogrado,"
gridando: “Perché tieni?” e “Perché burli?”.,"Piangendo: ""Perché tieni?"" e: ""Perché sperperi?"""
Così tornavan per lo cerchio tetro,Così ritornarono lungo il cerchio lurido
"da ogne mano a l'opposito punto,","Da una parte e dall'altra,"
gridandosi anche loro ontoso metro;,Urlando sempre piu' il loro metro vergognoso.
"poi si volgea ciascun, quand'era giunto,","Poi ciascuno, quando arrivò lì, si spinse verso"
per lo suo mezzo cerchio a l'altra giostra.,Attraverso il suo mezzocerchio fino a un'altra giostra;
"E io, ch'avea lo cor quasi compunto,","E io, che ho avuto il cuore trafitto per così dire,"
"dissi: “Maestro mio, or mi dimostra","Esclamato: ""Mio Maestro, ora dichiarami"
"che gente è questa, e se tutti fuor cherci","Chi sono queste persone, e se tutti fossero impiegati,"
