Original,Translate_EN,Translate_IT_1
Con grande umilitate e pacienza,With much humility and patience I promised Love,Con molta umiltà e pazienza promisi Amore
"Promisi a Amor a sofferir sua pena,",that I would suffer his pain,che avrei sofferto il suo dolore
"E c’ognie membro, ch’i’ avea, e vena",and that my every limb and vein,e che ogni mio arto e vena
Disposat’era a farli sua voglienza;,were prepared to do his will.,erano pronti a fare la sua volontà.
E solo a lui servire la mia credenza,And my mind is set to serve him and him alone,E la mia mente è destinata a servire lui e lui solo
"È ferma, né di ciò mai nonn-alena,",and will never cease to do so:,e non cesserà mai di farlo:
"Insin ched i’ avrò spirito o lena,","“As long as I live and breathe,",Finche' vivro' e respirero'...
I’ non farò da•cciò giama’ partenza.,I will never depart from this promise.”,Non mi allontanerò mai da questa promessa.
"E quelli allor mi disse: «Amico meo,","And Love then said to me: “My friend,",E poi l'amore mi disse:
I’ ò da•tte miglior pegnio che charte.,your pledge is better than any written promise:,il tuo pegno è migliore di qualsiasi promessa scritta:
"Fa che m’adori, ched i’ son tu’ Deo,","be sure to worship me, for I am your god;","adorami, perché io sono il tuo dio;"
"Ed ogn’altra credenza    metti a parte,",and set aside every other belief:,e mettere da parte ogni altra fede:
"Né non creder né Lucha, né Matteo,","do not believe Luke or Matthew,","non credere a Luca o a Matteo,"
"Né Marco, né Giovanni». Allor si parte.",Mark or John.” And then he departs.,Mark o John... e poi se ne va.
