Original,Translate_EN,Translate_IT_1
Venusso sì montò sus’un ronzino,Venus mounted her swift,Venere ha montato il suo veloce
"Corsiere,   ch’era buon da cacciagione,","steed, which was good for hunting,","steed, che era buono per la caccia,"
E con sua giente n’andò a Cicierone:,and with her company she went to Mount Cicerone:,e con la sua compagnia andò al monte Cicerone:
Sì comanda che sia prest’al matino,she orders that her war chariot of pure gold,Lei ordina che il suo carro di guerra d'oro puro
"Il carro suo, ch’era d’oro fino.",be ready in the morning.,Siate pronti domattina.
"Imantenente fu messo i•limone,","The pole was quickly attached to the chariot,","Il palo è stato rapidamente attaccato al carro,"
E presto tutto sì ben per ragione,and all was readied so that,e tutto fu pronto in modo che
"Che, quando vuol, puote entrar in camino.",they can begin the journey whenever they want.,Possono iniziare il viaggio quando vogliono.
"Ma non volle caval per limoniere,",But she refused to have a guide horse,Ma si rifiutò di avere un cavallo guida
"Né per tirare  il caro, anzi fe’ trarre","pull the chariot; rather, she took","tirare il carro; piuttosto, ha preso"
Cinque colonbi d’un su’ colonbiere;,five doves from one of her dovecotes,cinque colombe da una delle sue colombaie
A corde di fil d’oro gli fe’ legare.,and had them tied to it with golden threads.,e li aveva legati ad esso con fili d'oro.
"Non bisogniava avervi carettiere,","A coachman was not needed,",Non c'era bisogno di un cocchiere.
Ché•lla dea gli sapea ben guidare.,for the goddess was an expert driver.,per la dea era un autista esperto.
