Original,Translate_IT
"O voi che siete in piccioletta barca,","Oh sì, che in una bella barca,"
"desiderosi d'ascoltar, seguiti","E' difficile da ascoltare, hanno seguito..."
"dietro al mio legno che cantando varca,","Dietro la mia nave, che canta,"
tornate a riveder li vostri liti:,Tornate indietro a guardare di nuovo sulle vostre rive;
"non vi mettete in pelago, ché forse,","Non mettetevi in mare, perché non pervenga,"
"perdendo me, rimarreste smarriti.","Perdendomi, potreste perdervi voi stessi."
L'acqua ch'io prendo già mai non si corse;,Il mare che navigo non è mai stato superato;
"Minerva spira, e conducemi Appollo,","Minerva respira, e mi pilota Apollo,"
e nove Muse mi dimostran l'Orse.,E Muse nove mi indicano gli Orsi.
Voialtri pochi che drizzaste il collo,Voi altri pochi che hanno il collo alzato
"per tempo al pan de li angeli, del quale",Betimes to th'pane degli Angeli su cui
"vivesi qui ma non sen vien satollo,","Uno vive qui e non si sazia da esso,"
metter potete ben per l'alto sale,"Beh, puoi lanciarti sul fondale marino profondo?"
"vostro navigio, servando mio solco","Il tuo vascello, tieni ferma la mia veglia davanti a te"
dinanzi a l'acqua che ritorna equale.,Sull'acqua che cresce liscia di nuovo.
Que' glorïosi che passaro al Colco,Quelli gloriosi che a Colchos passarono
"non s'ammiraron come voi farete,","Non siete stati così prodigiosi come sareste stati voi,"
quando Iasón vider fatto bifolco.,Quando Jason vide un aratro fatto!
La concreata e perpetüa sete,La sete con-creata e perpetua
del deïforme regno cen portava,"Perche' il regno Deiform ci ha sopportato,"
veloci quasi come 'l ciel vedete.,Svelti quasi come vedete i cieli.
"Beatrice in suso, e io in lei guardava;","Lassù guardava Beatrice, e io la guardavo;"
e forse in tanto in quanto un quadrel posa,E in tale spazio per caso come colpisce un bullone
"e vola e da la noce si dischiava,","e vola, e dalla tacca si apre,"
giunto mi vidi ove mirabil cosa,Arrivati mi vidi dove una cosa meravigliosa
mi torse il viso a sé; e però quella,"Drew a se stesso la mia vista, e quindi lei"
"cui non potea mia cura essere ascosa,","da cui nessuna mia cura poteva essere nascosta,"
"volta ver' me, sì lieta come bella,","Verso di me girando, accecante come bello,"
"“Drizza la mente in Dio grata”, mi disse,","Mi disse: ""Ripara la tua mente con gratitudine"
“che n'ha congiunti con la prima stella”.,"Su Dio, che ci ha condotti alla prima stella."""
Parev'a me che nube ne coprisse,"Mi sembrava che una nuvola ci avvolgesse,"
"lucida, spessa, solida e pulita,","Luminoso, denso, consolidato e luminoso"
quasi adamante che lo sol ferisse.,Come irremovibile su cui colpisce il sole.
Per entro sé l'etterna margarita,In sé ha fatto la perla eterna
"ne ricevette, com'acqua recepe","Ricevici, come l'acqua riceve"
raggio di luce permanendo unita.,"Un raggio di luce, che rimane ancora intatto."
"S'io era corpo, e qui non si concepe","Se io fossi il corpo, (e noi qui concepiamo non"
"com'una dimensione altra patio,","Come una dimensione tollera un'altra,"
"ch'esser convien se corpo in corpo repe,","Che deve essere necessario se il corpo entra nel corpo,)"
accender ne dovria più il disio,Più il desiderio dovrebbe essere acceso in noi
di veder quella essenza in che si vede,"Questa essenza da vedere, in cui è visto"
come nostra natura e Dio s'unio.,Come Dio e la nostra natura erano uniti.
"Lì si vedrà ciò che tenem per fede,","Ci sarà visto ciò che riceviamo per fede,"
"non dimostrato, ma fia per sé noto","Non dimostrato, ma evidente"
a guisa del ver primo che l'uom crede.,In veste di prima verità che l'uomo crede.
"Io rispuosi: “Madonna, sì devoto","Ho risposto: ""Madonna, come devotamente"
"com'esser posso più, ringrazio lui","Come la maggior parte posso fare, rendo grazie a Lui."
lo qual dal mortal mondo m'ha remoto.,Che mi ha allontanato dal mondo mortale.
Ma ditemi: che son li segni bui,Ma dimmi quali sono le macchie brusche.
"di questo corpo, che là giuso in terra","Su questo corpo, che sotto sulla terra"
fan di Cain favoleggiare altrui?”.,"Fai raccontare alla gente quella favolosa storia di Caino?"""
"Ella sorrise alquanto, e poi “S'elli erra","Un po 'che cosa ha sorriso; e poi, ""Se il parere"
"l'oppinïon”, mi disse, “d'i mortali","Di mortali essere erronei,"" ha detto,"
"dove chiave di senso non diserra,","""Dove la chiave del senso non si sblocca,"
certo non ti dovrien punger li strali,"Certi, gli alberi della meraviglia non dovrebbero trafiggerti"
"d'ammirazione omai, poi dietro ai sensi","Ora, perche', seguendo i sensi,"
vedi che la ragione ha corte l'ali.,Tu vedi che la ragione ha ali corte.
Ma dimmi quel che tu da te ne pensi”.,"Ma dimmi cosa ne pensi tu stesso."""
E io: “Ciò che n'appar qua sù diverso,"E io: ""Ciò che ci sembra quassù vario,"
credo che fanno i corpi rari e densi”.,"È causato, credo, da corpi rari e densi."""
Ed ella: “Certo assai vedrai sommerso,"E lei: ""Davvero vedrai immerso"
