Original,Translate_EN,Translate_IT_1
"Sì dé la donna, s’ell’è ben sentita,","“And if she’s wise, the lady,","E se lei è saggia, la signora,"
"Quando riciever dovrà quell’amante,","when she receives that lover,","quando riceve quell'amante,"
"Mostralli di paura gran senbiante,",must show him that she’s afraid,deve mostrargli che lei ha paura
"E ch’ella dotta troppo eser udita,","and that she greatly fears being heard,","e che teme molto di essere ascoltata,"
E che si mette a rischio de la vita.,and that she’s putting her life in danger.,e che mette in pericolo la sua vita.
"Allor dé esser tutta tremolante,",Then she must tremble all over,Allora deve tremare dappertutto.
"Dir ch’ivi non puot’eser dimorante,",and say that he cannot stay in that place:,e dire che non può rimanere in quel luogo:
"Poi stea, che•llor gioia sia conpita.",then let him stay until their joy is complete.,che rimanga finché la loro gioia non sarà completa.
Ancor convien ched ella si’ acorta,"Moreover, she must be careful","Inoltre, deve stare attenta."
"Di far, ch’e’ v’entri per qualche spiraglio,","to have her lover enter through a secret passage,","per far entrare il suo amante attraverso un passaggio segreto,"
Ben potess’egli entrarvi per la porta:,even though he could enter through the door;,anche se poteva entrare dalla porta;
"Ché tutte cose, c’uom à con trav[a]gli[o],",for all the things obtained through hard work,per tutte le cose ottenute attraverso il duro lavoro
"Par c’uon le pregi più, e le diporta.",seem to be more highly valued and inspire trust.,sembra essere più altamente apprezzato e ispirare fiducia.
"Quel, che non costa, l’uon non pregia un aglio.",What costs nothing is not worth anything.”,Ciò che costa nulla non vale nulla.
