Original,Translate_EN,Translate_IT_1
"Po’ sentì ’l fatto Vergognia e Paura,","After hearing that uncourtly one shout,","Dopo aver sentito quell'orrendo grido,"
"Quand’ell’udiron quel villan gridare,",Modesty and Fear understood the situation,Modestà e paura compresero la situazione
"Ciascuna sì vi corse a•llui aitare,","and ran to help him,","e corse ad aiutarlo,"
E quello Schifo molto s’assicura.,and Resistance is very glad.,e la Resistenza è molto felice.
"Idio e tutti i santi ciaschun giura,",Each one swears to God and all the Saints,Ognuno giura a Dio e a tutti i Santi
Ched ele ’l mi faranno conperare:,that they will make me pay;,che mi faranno pagare;
Allor ciascun mi cominciò a buttare;,then they began to chase me off,poi hanno cominciato a cacciarmi via
Molto mi fecier dispett’e ladura;,and gave me scorn and much abuse.,e mi ha dato disprezzo e molti abusi.
"E’ disson ch’i’ avea troppo fallato,","And they said I had committed a great sin,","E dissero che avevo commesso un grande peccato,"
"Po’ che Bellacoglienza, per su’ onore,",since Fair Welcome had honorably,Dal Fair Welcome aveva onoratamente
"E lei e ’l suo m’avea abandonato,","given me herself and her possessions,","mi ha dato se stessa e i suoi beni,"
Ched i’ pensava d’inbolarle il Fiore.,because I was planning to steal the Flower from her.,Perche' avevo intenzione di rubarle il Fiore.
"Dritt’era, ch’i’ ne fosse gastigato,","It was right for me to be punished,","Era giusto per me essere punito,"
Sì ch’i’ ne stesse ma’ senpre in dolore.,so that I would be in pain forever.,Cosi' avrei sofferto per sempre.
