Original,Translate_EN,Translate_IT_1
"La Vechia atanto da me si diparte,","Meanwhile the Old Woman leaves me,","Nel frattempo la Vecchia donna mi lascia,"
"E ’l camin ebe tosto passegiato,",and had quickly passed along the path;,e aveva subito attraversato il sentiero;
"E quand’i’ fui un poco dimorato,","and after I had waited a bit,","e dopo aver aspettato un po ',"
"Verso ’l giardin n’andai   da l’altra parte,","I went toward the garden by the other way,","Sono andato verso il giardino dall'altra parte,"
"Pregando Idio, che mi conduca ’n parte,",praying that God may guide me to that place,pregando che Dio mi guidi verso quel luogo
Ch’i’ de mia malatia fosse sanato.,where I would be cured of my sickness.,dove sarei guarito dalla mia malattia.
Aperto l’uscio sì ebi trovato;,I found the gate open;,Ho trovato il cancello aperto.
Ver è ch’era sochiuso tutto ad arte.,"in truth, it was half-closed on purpose.","In realta', e' stato chiuso a meta' di proposito."
Co•molto gran paura dentro entrai;,With much trepidation I went inside;,Con molta trepidazione sono entrato;
"Ma quand’i’ vidi Malabocca morto,","but, when I saw Bad Mouth dead,","Ma quando ho visto ""Bad Mouth morto,"""
Vie men del fatto mio sì mi dottai.,I was much less fearful about my situation.,Ero molto meno timoroso della mia situazione.
"Amor trovai,   che mi diè gran conforto",I found Love who gave me much encouragement,Ho trovato l'amore che mi ha dato molto incoraggiamento
"Co•l’oste sua, e molto m’allegrai","with his army, and I rejoiced","con il suo esercito, e mi sono rallegrato"
"Che ciascun v’era, no•vi trarria corto.",that everyone there was ready to help me.,che tutti erano pronti ad aiutarmi.
