Original,Translate_EN,Translate_IT_1
"Figluola mia, per Dio e per merzede,","“My daughter, in the name of God and mercy,","Figlia mia, in nome di Dio e misericordia,"
"Agie pietà di quel leal Amante,","have pity on that loyal lover,","abbi pietà di quel fedele amante,"
"Che per te à soferte pene tante,",who for you has suffered so many torments,che per voi ha sofferto tanti tormenti
"Che dir no ’l ti poria, in buona fede.","that he could not tell you, in good faith.","che non poteva dirtelo, in buona fede."
"I•nessun altro idio, che•tte, non crede,","He believes in no other god but you,","Lui crede in nessun altro dio se non in te,"
"E tuttora a•cciò è stato fermo, e stante.",and has been always loyal and constant in this belief.,ed è sempre stato fedele e costante in questa convinzione.
"Figluola mia, or gli fa tal senbiante,","My daughter, now give him such a look","Figlia mia, dagli un'occhiata."
"Ch’e’ sia ciertano di ciò, c’or non crede».",that he may be certain of that which now he cannot see.”,che egli può essere certo di ciò che ora non può vedere.
Bellacoglienza disse: «I’ gli abandono,Fair Welcome said: “I give to him,Benvenuto ha detto: Io dare a lui
"E me, e ’l Fiore, e ciò, ch’i’ ò ’n podere,","both myself and the Flower, and all that I possess:",sia io che il Fiore e tutto ciò che possiedo
E ched e’ prenda tutto quanto in dono.,may he accept all of this as a gift!,Che accetti tutto questo come un dono!
"Per altre volte avea alcun volere,","On other occasions, I had some desire to do this,","In altre occasioni, ho avuto un certo desiderio di fare questo,"
"Ma non n’era sì agiata, com’or sono:",but then I wasn’t in the position that I’m in now:,ma poi non ero nella posizione in cui mi trovavo ora:
Or ne può fare tutto ’l su’ piaciere».,now he can do all that he wishes.”,ora può fare tutto quello che vuole.
