Original,Translate_EN,Translate_IT_1
"Sed e’ ci à guari di cota’ lupelli,","“If there are many of these young wolf cubs,","Se ci sono molti di questi giovani cuccioli di lupo,"
"La Santa Chiesa sì è malbalita,","Holy Church is in bad shape,","Santa Chiesa è in cattive condizioni,"
Po’ che•lla sua città è asalita,since her city is attacked,da quando la sua città è attaccata
"Per questi apostoli, c’or son novelli,","by these young, newly-ordained apostles.","da questi giovani, neo-ordinati apostoli."
"Ch’i’ son ciertan, po’ ch’e’ son suo’ rubelli,","For I am certain, since they are her enemies,","Io ne sono certo, poiché sono suoi nemici,"
Ch’ella non potrà essere guarentita:,the Church cannot be defended;,la Chiesa non può essere difesa;
"Presa sarà sanza darvi fedita,",she will be taken without a single attack,Sara' presa senza un solo attacco.
"Né di trabochi, né di manghanelli.",launched by catapults or war machines.,lanciato da catapulte o macchine da guerra.
"Se Dio non vi vuol metter argomento,","If God does not wish to offer a remedy for this,","Se Dio non vuole offrire un rimedio a questo,"
"La guera si fie tosto capitata,","the war will soon be over,","la guerra sarà presto finita,"
Sì ch’ognie cosa andrà a perdimento.,and everything will go to ruin:,e tutto andrà in rovina:
"Ed a me par ch’E’ l’à dimenticata,","but it seems to me that God has forgotten her,","ma mi sembra che Dio l'abbia dimenticata,"
Po’ sòfera cotanto tradimento,since He tolerates such betrayal,poiché Egli tollera tale tradimento
"Da color, a chui guardia l’à lasciata.",by those in whose care He’s left her.”,da coloro sotto la cui cura Egli ha lasciato lei.
