Original,Translate_EN,Translate_IT_1
"Chi di cota’ limosine è ’ngrassato,",“Whoever has gotten fat from such alms,Chi ha ottenuto grasso da tali elemosine
"In paradiso non dé atender pregio,",should not expect a reward in paradise;,non aspettatevi ricompensa in paradiso;
"Anzi vi dé atender gran dispregio,","rather, he should expect great punishment,","piuttosto, dovrebbe aspettarsi un grande castigo,"
Almen s’e’ non è privilegiato;,unless he has special privilege.,A meno che non abbia un privilegio speciale.
"E s’alcun n’è, sì n’è fatto, ingannato","And if someone is in this position, both the Pope","E se qualcuno è in questa posizione, sia il Papa"
"È ’l Papa, che li dié il su’ Colegio,","who gave it to him and his college are fooling themselves,","che gliel'ha data e il suo college si ingannano,"
Ché dar non credo doveria privilegio,for I don’t think that they should give,per non credo che dovrebbero dare
C’uon sano e forte gisse mendicato:	8,a strong and healthy man the privilege of begging.,un uomo forte e sano il privilegio di implorare.
"Ché•lle limosine, che sono donate","Indeed, alms are rightly given","In effetti, l'elemosina è giustamente data"
"A’ vechi, o magagniati san’ posanza,","to the old or the weak and disabled,","ai vecchi o ai deboli e ai disabili,"
"A chui la morte seria gran santate,",to whom death would be great blessing;,alla quale la morte sarebbe stata una grande benedizione;
"Colui, che•lle manuca, i’ l’ò ’n gravanza:",but the alms that are consumed to the detriment of those,ma le elemosine consumate a danno di coloro
Elle gli fieno ancor ben [paga]te.,"who need them will cost the one who eats them dearly,","chi ha bisogno di loro costerà a chi li mangia a caro prezzo,"
Di questo non bisognia aver dottanza.,and of this there is no doubt!”,e di questo non c'è dubbio!
