Original,Translate_EN,Translate_IT_1
E s’ella ne prendesse gran funata,“And if she should have a whole line-up,E se dovesse avere un'intera line-up
"Di que’, che ciaschedun la vuol brocciare,","of those who want to run her through,","di coloro che vogliono attraversarla,"
Sì si dé ben la femina avisare,the woman must be careful,la donna deve stare attenta
D’assegniar   a ciascun la sua giornata:,to assign each one his particular day;,di assegnare a ciascuno il suo giorno particolare;
Chéd ella rimaria troppo ’ngannata,"because she would be betrayed,","perché sarebbe stata tradita,"
"Se•ll’un l’altro vi potesse trovare,",if one were to find the other there;,se uno dovesse trovare l'altro lì;
C’almen le converebe pur fallare,for she would at least have to give up,per lei avrebbe almeno dovuto rinunciare
"Alle gioie, che ciascun l’avria recat[a].",the jewelry that they brought her.,i gioielli che le hanno portato.
"Ché non si vuol lasciar   già lor niente,",Because one must not leave them anything,Perché non si deve lasciare loro nulla
"Di ch’e’ potesser far   grande ’ngrassata,","with which they could get fat,","con cui potrebbero ingrassare,"
Ch’egli è perduto tutto il rimanente.,for all the rest is lost.,perché tutto il resto è perduto.
Perciò convien che ciascuna avisata,"Therefore, every woman must be shrewd,","Quindi ogni donna deve essere astuta,"
"Sia, sì che pover rimanga il dolente,","so that the poor man may remain miserable,","perché il povero rimanga infelice,"
E ella rimanga ricca e ben calzata.,and she may be wealthy and well dressed.”,e lei può essere ricco e ben vestito.
