Original,Translate_EN,Translate_IT_1
"Quand’i’ vidi i marosi sì ’nforzare,","When I saw the waves rise ever higher,","Quando ho visto le onde salire sempre più in alto,"
"Per lo vento a Provenza, che ventava,","because of the wind that blew from Provence,","a causa del vento che soffiava dalla Provenza,"
"C’alberi, e vele, e ancole fiachava,","such that masts and sails and anchors broke,","che si rompono alberi, vele e ancore,"
"E nulla mi valea il ben governare,","and my good steering was to no avail,","e il mio buon sterzo non serviva a nulla,"
Fra me medesimo comincia’ a pensare,I began to think in my heart of hearts,Ho cominciato a pensare nel mio cuore di cuori
"Ch’era follia se più navicava,","that it was madness to pursue my course,","che è stata una follia seguire il mio corso,"
"Se quel maltenpo prima non passava,","until that bad weather passed,","finché non è passato quel brutto tempo,"
"Che dal buon porto   mi faciea lu[n]giare,",which was keeping me far from the good harbor.,che mi teneva lontano dal buon porto.
"Sì ch’i’ allor m’ancolai a una piagia,","Thus, I anchored myself upon a beach,","Così, mi sono ancorato su una spiaggia,"
Vegiendo ch’i’ non potea entrar   in porto.,seeing that I could not enter the harbor;,visto che non potevo entrare nel porto;
La terra mi parea molto salvaggia.,the land seemed very inhospitable to me.,la terra mi sembrava molto inospitale.
I’ vi vernai co•molto di sconforto.,There I passed the winter in much discomfort.,Lì ho passato l'inverno in grande disagio.
Non sa che mal si sia chi non asaggia,He does not know what pain is who has not experienced,Non sa che dolore è chi non ha sperimentato
"Di quel d’Amor, ond’i’ fu’ quasi morto.","the pain of Love, because of which I almost died.","il dolore dell'Amore, a causa del quale sono quasi morto."
