Original,Translate_EN,Translate_IT_1
"Quand’ebi inteso Amico, che leale",When I had listened to the faithful counsel,Quando ho ascoltato il consiglio fedele
"Consiglio mi dava, a su’ podere,","that Friend gave me, to the best of his ability,","che l'Amico mi ha dato, al meglio della sua abilità,"
"I’ sì•lli dissi: «Amico, il mi’ volere","I said to him: “Friend, my wish","Gli ho detto: Amico, il mio desiderio"
"Non fu unquanche d’esser disleale,",was never to be disloyal.,non doveva mai essere sleale.
"Né piaccia a Dio, ch’i’ sia condotto a tale,",Nor may it please God that I be led to such a point,Non può piacere a Dio che io sia portato a un tale punto
"Ch’i’ a le gienti mostri benvolere,",that I show kindness to people,che io dimostro gentilezza alle persone
"E servali del corpo, e dell’avere,","and offer them myself and my possessions,","e offri loro me stesso e i miei beni,"
Ch[ed] i’ pensase poi di far lor male.,and then that I would think of doing harm to them.,E poi avrei pensato di far loro del male.
Ma sòffera ch’i’ avante disfidi,But first of all let me challenge,Ma prima di tutto lasciatemi sfidare
"E Mala-Bocca, e tutta sua masnada,","Bad Mouth and all his gang,","Mouth cattivo e tutta la sua banda,"
"Sì che neuno in me giamai si fidi,",so that they will know where I stand.,in modo che sappiano dove mi trovo.
Po’ penserò di metterli a la spada».,Then I’ll find a way to put them to the sword.”,Poi I.I.L. trova un modo per metterli alla spada.
"Que’ mi rispuose: «Amico, mal ti guidi:","Friend answered me: “Friend, you are mistaken:","Amico mi ha risposto: Amico, ti sbagli:"
Cotesta sì nonn-è la dritta strada.,this is not the right road.”,questa non è la strada giusta.
