Original,Translate_EN,Translate_IT_1
"Ne•libro mio so ben che studierai,","“I know that you will study my book,","So che studierai il mio libro,"
"Figlia, quando sarai   da me partita.","my daughter, when you have left me:","Mia figlia, quando mi hai lasciato..."
"Ciertana son, se Dio ti dona vita,","if God gives you life, I’m certain","se Dio ti dà la vita,"
"Che•ttu terai   scuola, e legierai.",you’ll have a school in which you’ll teach.,hai una scuola in cui insegni.
Di legierne da me congìo tu n’ài;,You have my permission to lecture from it;,Hai il mio permesso per fartene una lezione.
"Ma guardati, che•ttu sie ben fornita",but make sure that you’re well equipped,ma assicuratevi di essere ben attrezzati
"Di ritener la lezion, c’ài   udita,","to retain the lesson that you’ve heard,","di conservare la lezione che hai ascoltato,"
E savia mente la ripeterai.,and you’ll repeat it wisely.,e lo ripeti saggiamente.
"In casa non istar punto ringhusa,",Never stay closed up in your house:,Non rimanere mai chiuso in casa tua:
"A chiesa, o vero a ballo, o vero a piaza,","go to church, or better to a dance or to the square,","andare in chiesa, o meglio a una danza o in piazza,"
In queste cota’  luogora sì usa;,these are the places you should frequent.,questi sono i luoghi che dovresti frequentare.
E fa che•ttu gli die ben de la maza,And make sure you give a good beating,E assicuratevi di dare un buon pestaggio
"A que’, che, per vederti, sta a la musa,",to that one who stops to moon over you,a colui che si ferma sulla luna su di te
E che d’averti giorno e notte inpaza.,and who day and night yearns to have you.”,e che giorno e notte brama di averti.
