Original,Translate_EN,Translate_IT_1
"Or sì•tti vo’ parlar del guernimento,","“Now I want to speak with you about your wardrobe,","Ora voglio parlare con voi del vostro guardaroba,"
"Come ciascuna dé andar parata,",about how each woman must be well dressed,su come ogni donna deve essere ben vestita
Che per sua falta non fosse lasciata,and how through no fault of her own,e come per non colpa sua
Sì ch’ella fosse sanza intendimento.,she should not be left without proper adornment.,non dovrebbe essere lasciata senza un adeguato ornamento.
In ben lisciarsi sia su’ ’ntendimento;,Let her goal be to make herself beautiful;,Lasciate che il suo obiettivo sia di rendersi bella;
"Ma, prima che si mostri a la brigata,","but, before she shows herself to her friends,","ma, prima che si mostri ai suoi amici,"
Convien ch’ella si sia ben ispechiata,she must look closely in the mirror,lei deve guardare da vicino allo specchio
Che sopra lei non agia fallimento.,to be sure she has no blemish.,per essere sicura che non abbia difetti.
E s’ella va da•ssera o da mattina,And when she leaves her house,E quando esce di casa
"Fuor di sua casa, vada contamente:",by night or day she should go elegantly:,di notte o di giorno dovrebbe andare elegantemente:
"Non vada troppo ritta, né tro’ china,","she should not walk too erectly or too bent over,","non dovrebbe camminare troppo eretta o troppo piegata,"
"Sì ch’ella piaccia a chi•lla terrà mente,",so that she may please those who gaze at her;,"perché piaccia a quelli che la guardano,"
"E se•lla roba troppo le traina,","and if her dress touches the ground,","e se il suo vestito tocca il suolo,"
"Levila un poco, e fiene più piacente.","she should lift it a bit, and will be thus more pleasing.”","dovrebbe sollevarlo un po ', e sarà quindi più piacevole."
