Original,Translate_EN,Translate_IT_1
La Baronia sì fecie parlamento,The Barons met together,I Baroni si sono incontrati insieme.
"Per devisar in che maniera andranno,","to decide how they would proceed,","per decidere come procedere,"
O la qual porta prima assaliranno;,or which gate they would attack first.,o quale cancello attaccherebbero per primo.
Sì fur ben tutti d’un acordamento,"On this they were all in agreement,","Su questo erano tutti d'accordo,"
"Fuor che Richeza,   che fe’ saramento","except for Wealth, who pledged","eccetto la Ricchezza,"
"Ch’ella non prenderebe per me affanno,","that she would neither trouble herself for me,","che non si sarebbe preoccupata per me,"
"Néd al castel non darebe già danno,","nor would she do any harm to the castle,","e non avrebbe fatto alcun male al castello,"
"Per pregheria né per comandamento,",no matter how many prayers or orders,non importa quante preghiere o ordini
"Che nessuna persona far potesse,","might be given,","potrebbe essere somministrato,"
Perciò ch’i’ non volli anche sua contezza:,because I never wanted her friendship:,perché non ho mai voluto la sua amicizia:
"S’iera dritto, ch’i’ me ne pentesse.",it was right that I should repent for that.,Era giusto che mi pentissi di questo.
"Ben disse, ch’i’ le feci gran carezza","Indeed, she allowed that I showed her great respect","Infatti, ha permesso che io mostrassi il suo grande rispetto."
"Sotto dal pino, ma non c’ancor vedesse","under the pine tree, but she still saw","sotto il pino, ma ha ancora visto"
Che Povertà no•m’avesse   in distrezza.,that Poverty had me in the straits.,che la povertà mi aveva in difficoltà.
