Original,Translate_EN,Translate_IT_1
Francheza si venne primiera mente,First Sincerity moved,La prima sincerità è stata spostata
"Contra lo Schifo, ch’è molto oltragioso,","against Resistance, who is so haughty","contro la Resistenza, che è così altezzoso"
"E per senbianti fiero e coragioso,",and fierce and bold in his demeanor;,feroce e audace nel suo comportamento;
Ma quella venne molto humile mente.,but the former came very humbly.,ma il primo è venuto molto umilmente.
"Lo Schifo sì ponea tropo ben mente,","Resistance considered the matter well,","La resistenza ha considerato bene la questione,"
"Ché ’n ben guardar era molto invioso,",for he was very careful in making sure,perché era molto attento nel fare in modo che
Che quella non potesse di nascoso,that Sincerity could not secretly enter,che la sincerità non poteva entrare segretamente
Entrar dentr’a la porta con sua giente.,through the gate with her companions.,attraverso il cancello con i suoi compagni.
"Francheza mise mano ad una lancia,",Sincerity took a spear in hand;,La sincerità ha preso una lancia in mano;
"Sì s’aperse per dare a quel cagnione,",she dropped her guard to attack that ugly watch-dog,Ha abbassato la guardia per attaccare quel brutto cane da guardia.
E crudel mente   contra lui la lancia.,and cruelly hurls her lance at him.,e gli lancia crudelmente la lancia.
"Lo Schifo si avea in mano un gran bastone,","In his hand, Resistance held a huge club,","Nella sua mano, la Resistenza teneva un enorme club,"
"E co•lo scudo il colpo sì•llo schiancia,","and with his shield parries the blow,","e con il suo scudo partorisce il colpo,"
"E fiede a•llei, e falla gir boccone.",and hits her and makes her fall face down.,e la colpisce e la fa cadere a faccia in giù.
