Original,Translate_EN,Translate_IT_1
"«Non ti maravigliar s’i’ non son grasso,","“Friend, don’t be amazed if I am not as fat,","Amico, non essere stupito se non sono così grasso,"
"Amico, né vermiglio, com’i’ soglio,","or red, as I used to be,","o rosso, come ero una volta,"
Ch’ognie contrario è presto a•cciò ch’i’ voglio.,"for the opposite of what I desire always occurs,","per l'opposto di ciò che desidero sempre accade,"
"Così Fortuna m’à condotto al basso,",so Fortune has brought me to this low state!,Quindi la Fortuna mi ha portato in questo basso stato!
Ira e pensier m’ànno sì vinto e lasso,Sadness and worry have so conquered and exhausted me,Tristezza e preoccupazione mi hanno conquistato ed esausto
"Ch’e’ non è maraviglia s’i’ mi doglio,",that it’s no wonder I’m in such pain;,che non si stupisce che io sia in tale dolore;
"Chéd i’ sì vo a fedir a tale iscoglio,","for I will run aground and destroy myself on such a reef,","perché mi arenerò e mi distruggerò su una tale barriera corallina,"
"S’Amor non ci provede, ch’i’ son chasso.",if Love does not assist me.,se l'Amore non mi assiste.
"E ciò m’à Mala-Bocha prochacciato,",And this end Bad Mouth has secured for me,E questa fine la Mouth Cattiva si è assicurata per me
"Che svegliò Castitate e Gielosia,",when he awakened Chastity and Jealousy,quando risvegliò la castità e la gelosia
Sì tosto com’i’ ebi il Fior basciato.,as soon as I had kissed the Flower.,non appena ho baciato il Fiore.
"Allor fos’egli stato i•Normandia,","Would that he had been in Normandy,","Se fosse stato in Normandia,"
"Nel su’ paese, ov’e’ fu strangolato,","there in his country where he was hanged,","là nel suo paese dove è stato impiccato,"
Ché sì gli piaque dir ribalderia».,for indeed he delighted in saying defamatory things.”,perché in effetti si è compiaciuto nel dire le cose diffamatorie.
