Original,Translate_IT
Già era 'l sole a l'orizzonte giunto,"Sol era sceso all'orizzonte,"
lo cui meridïan cerchio coverchia,"Il cerchio di mezzogiorno, dove è più alto,"
Ierusalèm col suo più alto punto;,Guarda sotto di sé le feste di Sion.
"e la notte, che opposita a lui cerchia,","Notte che si gira verso di lui,"
"uscia di Gange fuor con le Bilance,","Era andato con la carrozza sul Gange,"
che le caggion di man quando soverchia;,"Quella che, quando cresce, perde la mano."
"sì che le bianche e le vermiglie guance,",Per questo Eos aveva guance bianche e rosse
"là dov'i' era, de la bella Aurora","Dove sono stato, perché la sua giovinezza è sparita,"
per troppa etate divenivan rance.,Ha cominciato a brillare in giallo alto.
"Noi eravam lunghesso mare ancora,","Eravamo ancora sulla spiaggia bassa del mare,"
"come gente che pensa a suo cammino,","E camminarono, se la via lontana è in ansietà,"
che va col cuore e col corpo dimora.,"Nel cuore, mentre il corpo stava in piedi."
"Ed ecco, qual, sorpreso dal mattino,","E come un torpore, quando il mattino"
per li grossi vapor Marte rosseggia,"Si avvicina, Marte, a ovest, vicino al mare"
"giù nel ponente sovra 'l suol marino,","Si mostra quasi nascosta da fitte arti,"
"cotal m'apparve, s'io ancor lo veggia,",Così ora ho visto una luce e ho guardato di più!
"un lume per lo mar venir sì ratto,","E in fretta, come nessun uccello volava mai,"
che 'l muover suo nessun volar pareggia.,Glitts sul mare specchio liscio.
Dal qual com'io un poco ebbi ritratto,Quando gli ho tolto gli occhi di dosso
"l'occhio per domandar lo duca mio,","Un po 'hai e ha parlato al Fuhrer,"
rividil più lucente e maggior fatto.,Sembra piu' luminoso e piu' grande se l'onda.
Poi d'ogne lato ad esso m'appario,Poi sulla luce ha rotto entrambi i lati
"un non sapeva che bianco, e di sotto","Una lucentezza bianca, ed egli si accese,"
a poco a poco un altro a lui uscìo.,"Come si avvicinava, dal basso verso l'alto."
"Lo mio maestro ancor non facea motto,","Mio Maestro, che si rivolse in silenzio dopo di lui,"
mentre che i primi bianchi apparver ali;,"Finche' l'ala e' apparsa prima bianca,"
"allor che ben conobbe il galeotto,","Allora, come conosceva il nobile marinaio, disse:"
"gridò: “Fa, fa che le ginocchia cali.","""Oh, andiamo, andiamo, inginocchiamoci!"
Ecco l'angel di Dio: piega le mani;,"Guarda l'angelo di Dio, piega le mani"
omai vedrai di sì fatti officiali.,Ora vedete fare questo Wink di Dio.
"Vedi che sdegna li argomenti umani,","Guarda, sta disprezzando quello che la gente potrebbe inventare."
"sì che remo non vuol, né altro velo","Non vela, non remi, non la sua coppia di ali"
"che l'ali sue, tra liti sì lontani.",Ha bisogno di un passaggio verso il terreno più lontano.
"Vedi come l'ha dritte verso 'l cielo,","Guarda, aspira al cielo così bello e chiaro!"
"trattando l'aere con l'etterne penne,","L'aria muove il piumaggio eterno,"
che non si mutan come mortal pelo”.,"Che non cambia come i capelli degli uomini."""
"Poi, come più e più verso noi venne",Ancora una volta si avvicina
"l'uccel divino, più chiaro appariva:","Con splendida lucentezza, che più vicino a tali apparenze"
"per che l'occhio da presso nol sostenne,","Il mio occhio non sopportò, così l'ho colpito."
ma chinail giuso; e quei sen venne a riva,E facilmente e rapidamente ho visto attraverso di lui da solo
"con un vasello snelletto e leggero,","Vincere la nave dell'Eilandia spiaggia bassa,"
tanto che l'acqua nulla ne 'nghiottiva.,E a malapena colpisce le alluvioni.
"Da poppa stava il celestial nocchiero,",E quando un Selger stava davanti ai miei sensi
tal che faria beato pur descripto;,"Nella parte posteriore del timone della nave,"
e più di cento spirti entro sediero.,E c'erano più di cento fantasmi dentro.
'In exitu Isräel de Aegypto',"""Come fuggire dall'Egitto Israele."""
cantavan tutti insieme ad una voce,"La moltitudine, in verità, per raggiungere la riva,"
con quanto di quel salmo è poscia scripto.,Iniziò questo salmo con Sanges.
Poi fece il segno lor di santa croce;,"Egli fa su di loro dei segni della croce sana,"
ond'ei si gittar tutti in su la piaggia:,"Tutti si gettarono a bordo del mare,"
"ed el sen gì, come venne, veloce.",Poi lo videro sfuggire in fretta.
"La turba che rimase lì, selvaggia","Tutti quelli che erano rimasti là sembravano estranei,"
"parea del loco, rimirando intorno","E guardandosi intorno, li vidi soffermarsi,"
come colui che nove cose assaggia.,"Come lui, il nuovo vede in un luogo straniero."
Da tutte parti saettava il giorno,Da tutti i lati sparava con le frecce di fuoco
"lo sol, ch'avea con le saette conte",Il giorno il sole che dal Meridiano
"di mezzo 'l ciel cacciato Capricorno,",Il capro espiatorio è già stato costretto a smontare
