Original,Translate_IT
"Quando si parte il gioco de la zara,","Quando il dading è fatto e i giocatori si separano,"
"colui che perde si riman dolente,","Il perdente e' rimasto solo, sconsolato..."
"repetendo le volte, e tristo impara;","provando quello che aveva lanciato, purtroppo impara;"
con l'altro se ne va tutta la gente;,tutta la folla circonda colui che ha vinto...
"qual va dinanzi, e qual di dietro il prende,","uno va davanti, e uno tira sulla schiena,"
e qual dallato li si reca a mente;,e al suo fianco si chiede di essere ricordato;
"el non s'arresta, e questo e quello intende;","non si ferma, ma li ascolta tutti;"
"a cui porge la man, più non fa pressa;","e quando dà loro qualcosa, essi desisteranno;"
e così da la calca si difende.,Cosi' potra' respingere la folla di pressione.
"Tal era io in quella turba spessa,","E io, in quel branco persistente, ero così:"
"volgendo a loro, e qua e là, la faccia,","in questo modo e quello, ho girato il mio volto verso di loro"
e promettendo mi sciogliea da essa.,"e, facendo promesse, sfuggirono alle loro grinfie."
Quiv'era l'Aretin che da le braccia,C'era l'Aretina che ha incontrato la sua morte.
"fiere di Ghin di Tacco ebbe la morte,","sotto le mani bestiali di Ghino di Tacco,"
e l'altro ch'annegò correndo in caccia.,"e colui che annegò quando, all'inseguimento, corse."
Quivi pregava con le mani sporte,"Lì, con le mani tese, c'era Federigo"
"Federigo Novello, e quel da Pisa","Novello, pregando, e i Pisani che"
che fé parer lo buon Marzucco forte.,Marzucco ha mostrato la sua fortezza.
Vidi conte Orso e l'anima divisa,"Ho visto il Conte Orso, e ho visto l'anima"
"dal corpo suo per astio e per inveggia,",scheggiato dal suo corpo per invidia e dispetto...
"com'e' dicea, non per colpa commisa;","non, così ha detto, perché era stato colpevole-"
"Pier da la Broccia dico; e qui proveggia,",Voglio dire Pier de la Brosse (e che la Signora
"mentr'è di qua, la donna di Brabante,","di Brabante, mentre è ancora in questo mondo, guarda"
sì che però non sia di peggior greggia.,le sue vie-o fine tra un gregge più triste).
Come libero fui da tutte quante,Non appena sono stato libero da tutte quelle sfumature
"quell'ombre che pregar pur ch'altri prieghi,","che pregano sempre per le preghiere degli altri per loro,"
"sì che s'avacci lor divenir sante,","per raggiungere più rapidamente il loro stato benedetto,"
"io cominciai: “El par che tu mi nieghi,","Ho iniziato: ""O mia luce, mi sembra"
"o luce mia, espresso in alcun testo",che in un solo passo neghi espressamente
che decreto del cielo orazion pieghi;,"che la preghiera può piegare la regola del cielo, ma"
e questa gente prega pur di questo:,queste persone pregano proprio per questo fine.
"sarebbe dunque loro speme vana,","È la loro speranza, quindi, solo il vuoto,"
o non m'è 'l detto tuo ben manifesto?”.,"o non ho letto chiaramente quello che hai detto?"""
Ed elli a me: “La mia scrittura è piana;,"E lui a me: ""Il mio testo è abbastanza chiaro,"
"e la speranza di costor non falla,",e tuttavia la loro speranza non è delusivo se
se ben si guarda con la mente sana;,lo si esamina con spirito sobrio;
ché cima di giudicio non s'avvalla,il picco della giustizia non si abbassa quando
perché foco d'amor compia in un punto,il fuoco dell'amore compie in uno
ciò che de' sodisfar chi qui s'astalla;,istantaneamente l'espiazione dovuta da tutti
"e là dov'io fermai cotesto punto,","che abitano qui, perché dove ho affermato questo"
