Original,Translate_EN,Translate_IT_1
"Donar   di femina si è gran follia,","“The giving of gifts by a woman is great foolishness,","La donazione di doni da parte di una donna è una grande stoltezza,"
Sed e’ non s’è un poco a gienti atrare,unless they are small gifts used to lure men,a meno che non siano piccoli regali usati per attirare gli uomini
"Là dov’ella si creda su’ pro fare,","there where she thinks she can have an advantage,","là dove pensa di poter avere un vantaggio,"
E che ’l su’ dono radoppiato le sia.,and where her gift can bring her a twofold return.,e dove il suo dono può portarle un doppio ritorno.
Quella non tengh’i’ già per villania:,I don’t believe this activity is ignoble:,Non credo che questa attività sia ignobile:
"Ben ti consento quel cotal donare,","indeed, I encourage you in this kind of giving,","In verità vi incoraggio in questo tipo di doti,"
"Ché•ttu non vi puo’, se non guadagnare;",because you can only gain from it;,perché puoi solo guadagnarci;
Gran senn’è a far   tal mercatantia.,it’s very wise to make this sort of business deal.,è molto saggio fare questo tipo di affare.
"Agl’uomini lasciàn far   la largheza,","We let men perform these generous acts,","Lasciamo che gli uomini compiano questi atti generosi,"
"Ché Natura la ci à, pez’è, vietata:",since Nature has forbidden them to us for some time;,"poiché la natura ce ne ha proibito per qualche tempo,"
Dunque a femina farla si è senpieza;,"thus, for a women to do this is great foolishness.","così, per una donna fare questo è una grande sciocchezza."
"Avegnia che ciascun’è sì afetata,","To be sure, every woman is of such nature","Per essere sicuri, ogni donna è di tale natura"
"Che volontier di lei fanno straneza,","that she refrains from this sort of generosity,","che si astenga da questo genere di generosità,"
Sed e’ non s’è alcuna disperata.,unless she is desperate.”,a meno che non sia disperata.
