Original,Translate_EN,Translate_IT_1
"«Tu falli tropo verso quell’Amante,»",Venus said: “You are making a big mistake,Venere ha detto: Stai commettendo un grosso errore
"Disse Venus[so] «che cotanto t’ama,",with that lover who loves you so much;,con quell'amante che ti ama tanto;
"Néd i’ non so al mondo sì gran dama,",I do not know any great lady in the world,Non conosco nessuna grande signora al mondo
"Che di lui dovess’eser rifusante,",who would reject him:,che lo rifiuterebbe:
"Ch’egli è giovane, bello e avenante,","for he is young, beautiful and charming,","perché è giovane, bello e affascinante,"
"Cortese, franco e pro, di buona fama:","courteous, loyal, bold and well respected.","cortese, leale, audace e ben rispettato."
"Promettili un basciar, e a•tte ’l chiama,","Promise him a kiss and call him to you,","Promettigli un bacio e chiamalo da te,"
Ch’e’ non à huon nel mondo più cielante».,for no one in the world is more discreet than he.”,perché nessuno al mondo è più discreto di lui.
Bellacoglienza disse: «I’ vo’ che vegnia,Fair Welcome said: “I want him to come,Benvenuto giusto ha detto: Voglio che venga
"E basci il Fior, che tanto gli è piacie[re],","and kiss the Flower that he loves so much,","e bacia il Fiore che ama così tanto,"
"Ma ched e’ sagiamente si contegnia,",on condition that he behave wisely;,a condizione che si comporti saggiamente;
"Che siate cierto, ch’e’ no•m’è spiaciere».",for you should know that this does not displease me.”,per voi dovrebbe sapere che questo non mi dispiace.
«Or gli ne manda alcuna buona ’nsegna»,Venus then said: “Now send him,"Venere allora disse: ""Ora mandalo"
"Disse Venùs, «e fagliele a sapere».",a good sign and let him know this.”,un buon segno e fargli sapere questo.
