Original,Translate_IT
"Quando ambedue li figli di Latona,","Quando i due figli di Latona,"
"coperti del Montone e de la Libra,","uno coperto dal Ram, uno dalle Scale,"
"fanno de l'orizzonte insieme zona,",insieme fanno una cintura dell'orizzonte
quant'è dal punto che 'l cenìt inlibra,per il momento che lo zenit
"infin che l'uno e l'altro da quel cinto,","li tiene in equilibrio, finché ciascuno di loro,"
"cambiando l'emisperio, si dilibra,","in emisferi cambianti, sbilancia quella cintura,"
"tanto, col volto di riso dipinto,","per così tanto tempo, il suo viso illuminato da un sorriso,"
"si tacque Bëatrice, riguardando","Beatrice era silenziosa, fissava intensamente"
fiso nel punto che m'avëa vinto.,al punto che mi ha superato.
"Poi cominciò: “Io dico, e non dimando,","Allora cominciò: ""Io dico, io non chiedo,"
"quel che tu vuoli udir, perch'io l'ho visto",ciò che vorresti sentire. Perché l'ho visto lì
là 've s'appunta ogne  ubi e ogne quando,dove ogni ubi e ogni quando ha il suo centro.
"Non per aver a sé di bene acquisto,","'Non per aumentare il suo deposito di bontà,"
"ch'esser non può, ma perché suo splendore","una cosa impossibile, ma che il Suo splendore,"
"potesse, risplendendo, dir ""Subsisto"",","Risplendendo indietro, potrebbe dire Subsisto,"
"in sua etternità di tempo fore,","'nella sua eternità, oltre il tempo, oltre"
"fuor d'ogne altro comprender, come i piacque,","ogni altro limite, come a Lui piaceva,"
s'aperse in nuovi amor l'etterno amore.,"in questi nuovi amori, l'Amore Eterno si è manifestato."
Né prima quasi torpente si giacque;,"Né, prima di allora, si riposò a Torpor,"
ché né prima né poscia procedette,perché finché Dio non si mosse su queste acque
lo discorrer di Dio sovra quest'acque.,"non esisteva ""prima,"" non c'era ""dopo."""
"Forma e materia, congiunte e purette,","""Forma e materia, unite e separate,"
"usciro ad esser che non avia fallo,","è venuto in essere senza difetto,"
come d'arco tricordo tre saette.,sparato come tre frecce da un arco a tre corde.
"E come in vetro, in ambra o in cristallo","E mentre un raggio splende attraverso il vetro, l'ambra..."
"raggio resplende sì, che dal venire","o cristallo, in modo che tra la sua presenza"
"a l'esser tutto non è intervallo,","e la sua lucentezza non ha un lasso di tempo,"
così 'l triforme effetto del suo sire,"""Così come il flash della triplice creazione..."
ne l'esser suo raggiò insieme tutto,senza intervalli all'inizio...
sanza distinzïone in essordire.,"dal suo Signore all'essere, tutto in una volta."
Concreato fu ordine e costrutto,"'Con esso, l'ordine è stato creato e ordinato"
a le sustanze; e quelle furon cima,"per gli angeli, e queste erano le vette"
nel mondo in che puro atto fu produtto;,"dell'universo, perché in essi Dio produsse puro atto."
pura potenza tenne la parte ima;,Il potenziale era il posto piu' basso.
nel mezzo strinse potenza con atto,"Tra loro, il potenziale e l'atto sono stati tenuti insieme"
"tal vime, che già mai non si divima.",da un legame che non può essere slegato.
Ieronimo vi scrisse lungo tratto,'La scrittura di Girolamo ti dice tutti gli angeli
di secoli de li angeli creati,sono stati creati molti secoli prima
anzi che l'altro mondo fosse fatto;,il resto dell'universo è nato.
ma questo vero è scritto in molti lati,'Ma gli scribi dello Spirito Santo dichiarano
"da li scrittor de lo Spirito Santo,","la verità su molte pagine,"
e tu te n'avvedrai se bene agguati;,come troverete sulla ricerca con un po 'di cura.
"e anche la ragione il vede alquanto,","E anche la ragione lo vede, in una certa misura,"
che non concederebbe che ' motori,perché non concederebbe che i traslocatori dei cieli
sanza sua perfezion fosser cotanto.,dovrebbe rimanere così a lungo senza diventare perfetto.
Or sai tu dove e quando questi amori,'Ora sai sia dove e quando questi spiriti amorevoli
furon creati e come: sì che spenti,"sono stati creati, e tu sai come, pure."
nel tuo disïo già son tre ardori.,E così tre fiamme del vostro desiderio sono state spente.
"Né giugneriesi, numerando, al venti","'Poi, prima di uno potrebbe contare a venti,"
"sì tosto, come de li angeli parte",una banda di angeli aveva disturbato
turbò il suggetto d'i vostri alimenti.,il più basso dei tuoi elementi.
"L'altra rimase, e cominciò quest'arte",'L'altra band rimase e si diede
"che tu discerni, con tanto diletto,","con tale abbandono a questo compito, che voi vedete,"
che mai da circüir non si diparte.,che non cessa mai il suo movimento circolare.
Principio del cader fu il maladetto,"""La causa della caduta"
superbir di colui che tu vedesti,era l'orgoglio maledetto di lui che hai visto
da tutti i pesi del mondo costretto.,schiacciato sotto il peso di tutto il mondo.
Quelli che vedi qui furon modesti,"Quelli che osservate qui erano tutti umili,"
a riconoscer sé da la bontate,riconoscendo la bontà che li aveva fatti in forma
che li avea fatti a tanto intender presti:,essere dotati di un'intelligenza così vasta.
per che le viste lor furo essaltate,Così la loro visione fu esaltata
"con grazia illuminante e con lor merto,","illuminando la grazia, insieme con il loro merito,"
sì c'hanno ferma e piena volontate;,affinché la loro volontà sia completa e ferma.
"e non voglio che dubbi, ma sia certo,","""E non voglio che dubitiate, ma piuttosto siate certi:"
che ricever la grazia è meritorio,che c'è merito nel ricevere la grazia
secondo che l'affetto l'è aperto.,in misura come il cuore le inclina.
Omai dintorno a questo consistorio,"""Quindi, se avete capito le mie parole,"
"puoi contemplare assai, se le parole",può esaminare qualsiasi cosa le piaccia
"mie son ricolte, sanz'altro aiutorio.",in questa assemblea senza bisogno di aiuto.
Ma perché 'n terra per le vostre scole,Ma poiché nelle scuole sulla terra ancora vi viene insegnato
si legge che l'angelica natura,che la natura angelica è posseduto
