Original,Translate_IT
Era già l'ora che volge il disio,Era l'ora che trasforma i desideri dei marinai
ai navicanti e 'ntenerisce il core,homeward-l'ora che rende i loro cuori teneri
lo dì c'han detto ai dolci amici addio;,il giorno in cui si salutano i dolci amici;
e che lo novo peregrin d'amore,l'ora che trafigge il nuovo viaggiatore
"punge, se ode squilla di lontano","con amore quando ha sentito, lontano, la campana"
che paia il giorno pianger che si more;,che sembra piangere la morte del giorno;
quand'io incominciai a render vano,quando ho cominciato a lasciare che il mio udito svanisca
l'udire e a mirare una de l'alme,"e guardò una di quelle anime che, risorto,"
"surta, che l'ascoltar chiedea con mano.",aveva segnalato con la sua mano la nostra attenzione.
"Ella giunse e levò ambo le palme,","Si unì alle mani e, sollevandole, si mise a riparare"
"ficcando li occhi verso l'orïente,","tutta la sua attenzione sull'est, come se"
come dicesse a Dio: 'D'altro non calme'.,"per dire a Dio: ""Non mi importa nient'altro."""
'Te lucis ante' sì devotamente,"""Te lucis ante"" emesso dalle sue labbra"
"le uscìo di bocca e con sì dolci note,",con tanta devozione e con note così dolci
che fece me a me uscir di mente;,che sono stato commosso per andare oltre la mia mente.
e l'altre poi dolcemente e devote,E poi gli altri spiriti lo seguirono...
"seguitar lei per tutto l'inno intero,","devotamente, dolcemente attraverso tutto quell'inno,"
avendo li occhi a le superne rote.,i loro occhi intenti sulle sfere supernali.
"Aguzza qui, lettor, ben li occhi al vero,","Ecco, lettore, lascia che i tuoi occhi guardino alla verità,"
"ché 'l velo è ora ben tanto sottile,",per ora il velo è diventato così sottile
certo che 'l trapassar dentro è leggero.,non è difficile passare dentro.
Io vidi quello essercito gentile,"Ho visto quella compagnia di spiriti nobili,"
"tacito poscia riguardare in sùe,","silenzio e sguardo verso l'alto, pallido e umile,"
"quasi aspettando, palido e umìle;","come se in attesa; e ho visto,"
e vidi uscir de l'alto e scender giùe,"emergente e discendente dall'alto,"
"due angeli con due spade affocate,","due angeli che portano spade fiammeggianti, di cui"
tronche e private de le punte sue.,"le lame sono state spezzate, senza le loro punte. ."
Verdi come fogliette pur mo nate,"Le loro vesti, verdi come le foglie appena nate,"
"erano in veste, che da verdi penne","erano agitati, ammirati dalle loro ali verdi,"
percosse traean dietro e ventilate.,e dietro di loro se ne andò un solo angelo
"L'un poco sovra noi a star si venne,","e stava un po' sopra di noi, mentre l'altro"
"e l'altro scese in l'opposita sponda,","discendente sull'argine opposto,"
sì che la gente in mezzo si contenne.,fiancoggiando quella compagnia di anime tra loro.
Ben discernëa in lor la testa bionda;,"I miei occhi tiravano fuori chiaramente le loro teste bionde, ma..."
"ma ne la faccia l'occhio si smarria,",la mia vista era abbagliata dai loro volti...
come virtù ch'a troppo si confonda.,come ogni senso sconcertato dall'eccesso.
"“Ambo vegnon del grembo di Maria”,","""Provengono entrambi dal seno di Mary,"" disse Sordello,"
"disse Sordello, “a guardia de la valle,","""per servire da custodi della valle"
per lo serpente che verrà vie via”.,"contro il serpente che presto apparirà."""
"Ond'io, che non sapeva per qual calle,","A questo punto, non sapendo dove potrebbe essere il suo cammino,"
"mi volsi intorno, e stretto m'accostai,","congelati dalla paura, mi voltai, premendo"
"tutto gelato, a le fidate spalle.",vicino alle spalle fidate. E Sordello
E Sordello anco: “Or avvalliamo omai,"ha continuato: ""Discendiamo ora tra"
"tra le grandi ombre, e parleremo ad esse;",le grandi ombre della valle; noi parleremo
grazïoso fia lor vedervi assai”.,"con loro e, vedendoti, si compiaceranno."""
"Solo tre passi credo ch'i' scendesse,",Penso di aver fatto solo tre passi.
"e fui di sotto, e vidi un che mirava","per andare sotto, quando ho visto uno che guardava"
"pur me, come conoscer mi volesse.","Con attenzione, cercando di riconoscermi."
"Temp'era già che l'aere s'annerava,","L'ora era arrivata quando l'aria si fa buio,"
ma non sì che tra li occhi suoi e ' miei,ma non così buio che mi ha privato gli occhi
non dichiarisse ciò che pria serrava.,e la sua di ciò che prima furono tacciati di menzogna.
"Ver' me si fece, e io ver' lui mi fei:",Si mosse verso di me e io mi avvicinai a lui.
"giudice Nin gentil, quanto mi piacque",Nobile giudice Nino-quale delizia era mia
quando ti vidi non esser tra ' rei!,quando ho visto che non eri tra i dannati!
Nullo bel salutar tra noi si tacque;,Non c'era nessun saluto gentile che abbiamo trascurato
poi dimandò: “Quant'è che tu venisti,"prima che mi chiedesse: ""Quando sei arrivato,"
a piè del monte per le lontane acque?”.,"attraverso mari lunghi, sotto questa montagna?"""
"“Oh!”, diss'io lui, “per entro i luoghi tristi","Gli ho detto: ""Oh, per via delle regioni tristi,"
"venni stamane, e sono in prima vita,",Sono venuto stamattina; sono ancora dentro
"ancor che l'altra, sì andando, acquisti”.","la prima vita-anche se, da questo viaggio,"
"E come fu la mia risposta udita,","Mi guadagno l'altro."" Quando hanno sentito la mia risposta, ."
Sordello ed elli in dietro si raccolse,"Sordello e il giudice Nino, proprio dietro di lui,"
come gente di sùbito smarrita.,disegnato indietro come la gente improvvisamente stupito.
L'uno a Virgilio e l'altro a un si volse,Uno si voltò verso Virgilio e l'altro si voltò
"che sedea lì, gridando: “Sù, Currado!","e chiamò uno che stava seduto lì: ""Su, Currado!"
vieni a veder che Dio per grazia volse”.,"Venite a vedere ciò che Dio ha voluto dalla Sua grazia!"""
"Poi, vòlto a me: “Per quel singular grado","Poi, quando si rivolse a me: ""Per questo speciale"
che tu dei a colui che sì nasconde,gratitudine devi a Colui che nasconde
"lo suo primo perché, che non lì è guado,",il suo scopo primordiale in modo che nessuna mente umana
"quando sarai di là da le larghe onde,","può trovare il guado ad esso, quando si ritorna"
dì a Giovanna mia che per me chiami,"attraverso le onde larghe, chiedete alla mia Giovanna..."
là dove a li 'nnocenti si risponde.,là dove le suppliche di innocenti sono state esaudite...
"Non credo che la sua madre più m'ami,",a pregare per me. Non credo che sua madre
"poscia che trasmutò le bianche bende,","mi ama ancora: ha dato i suoi veli bianchi-sicuramente,"
"le quai convien che, misera!, ancor brami.","Povera donna, lei rivorrà loro di nuovo."
Per lei assai di lieve si comprende,"Attraverso di lei, si capisce così facilmente"
"quanto in femmina foco d'amor dura,","quanto breve, in donna, è il fuoco dell'amore-quando non"
se l'occhio o 'l tatto spesso non l'accende.,riacceso frequentemente dall'occhio o dal tatto.
Non le farà sì bella sepultura,Il serpente che assegna i milanesi
"la vipera che Melanesi accampa,",il loro campeggio non provvederà a lei
com'avria fatto il gallo di Gallura”.,"una tomba bella come il gallo di Gallura."""
"Così dicea, segnato de la stampa,",Così Nino parlò; il suo portamento portava il sigillo
"nel suo aspetto, di quel dritto zelo","di quello zelo senza risposta che, anche se brucia"
che misuratamente in core avvampa.,"nel cuore, mantiene un senso di misura."
"Li occhi miei ghiotti andavan pur al cielo,","I miei occhi avidi erano saldi, fissando"
"pur là dove le stelle son più tarde,","quella parte del cielo dove le stelle sono più lente,"
sì come rota più presso a lo stelo.,anche come raggi quando si avvicinano all'asse.
"E 'l duca mio: “Figliuol, che là sù guarde?”.","E la mia guida: ""Figliolo, cosa stai fissando?"""
E io a lui: “A quelle tre facelle,"E io risposi: ""Sto guardando quelle tre torce"
di che 'l polo di qua tutto quanto arde”.,"con cui questo polo meridionale è tutto fiammeggiante."""
Ond'elli a me: “Le quattro chiare stelle,"Poi egli a me: ""Le quattro stelle luminose che hai visto"
"che vedevi staman, son di là basse,","questa mattina ora sono bassi, oltre il palo,"
