Original,Translate_EN,Translate_IT_1
"Del bel valetto, che vo’ mi parlate,","“You’ve spoken to me about the handsome lad,","Hai parlato con me del bel ragazzo,"
"In cui tanta vertute è riposata,",the one in whom so much virtue is found;,colui in cui si trova tanta virtù;
"Sed e’ la s’à, per me gli sia chitata:","if he has this virtue, let him keep it for my sake:","se ha questa virtù, la tenga per me."
"S’i’ l’amo, i’ l’amerò come mi’ frate.","if I love him, I will love him like a brother.","Se lo amo, lo amero' come un fratello."
"Ma per le gioie, ch’e’ m’à presentate,","But, because of the jewels he gave me,","Ma, a causa dei gioielli che mi ha regalato,"
La mi’ veduta no•gli fia vietata;,he should not be prevented from seeing me;,non dovrebbe essere impedito di vedermi;
"Ma venga il più che puote a la cielata,","but let him come as often as he can in secret,","ma che venga il più spesso possibile in segreto,"
"E, sed e’ piacie a voi, sì ’l ci menate.","and if you like, then bring him here.","E se vuoi, portalo qui."
"Ma che sia fatto tosto, san’ dimora,","But this should be done quickly and without delay,","Ma questo dovrebbe essere fatto rapidamente e senza indugio,"
Perciò che Gielosia non può sofrire,since Jealousy cannot allow,dal momento che la gelosia non può permettere
Ched ella stea sanza vedermi un’ora:,an hour to pass without checking on me;,un'ora per passare senza controllarmi;
"Ché molte volte si parte per gire,","for many times she starts to go away,","per molte volte comincia ad andare via,"
"E ’l Diavol, che di notte in lei lavora,","and the devil, who works in her by night,","e il diavolo che lavora in lei di notte,"
Sì•lla fa mantenente rivenire».,makes her come back immediately.”,la fa tornare immediatamente.
