Original,Translate_EN,Translate_IT_1
"La lupa intendo che, per non fallire","“I hear that, in order not to fail","Ho sentito che, per non fallire"
"A prender ella pecora o montone,","to take the sheep or ram, the she-wolf,","per prendere la pecora o l'ariete, la lupo,"
"Quand’e’ le par[e] di mangiar stagione,","when she thinks it’s time to eat,","quando pensa che sia ora di mangiare,"
"Ne va, per una, un ciento e più asalire.",attacks more than a hundred to get just one.,attacca più di cento per averne solo uno.
Così si dé la femina civire,"In this way, the woman must get prepared,","In questo modo, la donna deve prepararsi,"
Sed ella avesse in sé nulla ragione:,if she had any sense at all:,se avesse avuto un po' di buon senso:
Contra ciascuno rizar dé il pennone,against them all she must raise her flag,contro di loro tutti deve alzare la bandiera
Per fargli nella sua rete fedire;,to make them fall into her net.,per farli cadere nella sua rete.
"Chéd ella non sa quale riman preso,",Since she doesn’t know who’ll be caught,Dal momento che non sa chi sarà catturato
"Insin ch’ella no•gli à tarpata l’ala,","until she’s clipped their wing,","fino a quando lei non ha tagliato la loro ala,"
"Sì dé tener tuttor l’aiuol su’ teso,","she must always keep her net stretched out,","deve sempre tenere la rete tesa,"
E prendergli a’ gheroni e a la sala;,and capture them in the folds and hems of her dress.,e catturarli nelle pieghe e orli del suo vestito.
Ma se sapesse o ch’ell’avesse inteso,But if she learned or heard,Ma se ha imparato o sentito
"Ch’e’ fosse pover, gittil per la scala.","that he was poor, then let her throw him down the stairs.”","che era povero, poi lasciò che lo gettasse giù le scale."
