Original,Translate_EN,Translate_IT_1
"E quand’ella serà rasicurata,","“And as soon as she has been reassured,","E non appena sarà stata rassicurata,"
"Tantosto sì gli dé corere indosso,",she must immediately run up to him,deve correre subito da lui
"E dir: “Lassa tapina, be•mi posso","and say: ‘Wretched me, I can certainly","e dire: Mi misericordioso, posso certamente"
"Chiamar dolend’, e sì son arivata,","call myself unfortunate, if I have arrived at the point","Mi chiamo sfortunato, se sono arrivato al punto"
"Ched i’ sì amo, e sì non son amata!","where I love, but am not loved in return!","dove amo, ma non sono amato in cambio!"
"Molt’ò lo ’ntendimento rud’, e grosso,","My reasoning becomes very rough and dull,","Il mio ragionamento diventa molto aspro e noioso,"
Quando il me’ core s’è sì forte ismosso,when my heart is so powerfully moved,quando il mio cuore è così potentemente commosso
D’esser di voi così inamorata”.,by my great love for you.’,dal mio grande amore per voi.
"E po’ sì gli rimuova quistione,","Then she should start her complaint once again,",Allora dovrebbe ricominciare a lamentarsi ancora una volta.
"E dica: “La lontana dimoranza,",saying: ‘Your long stay away from me,"Dicendo: ""Il tuo lungo stare lontano da me"""
"C’avete fatta, nonn-è san’ cagione.",is not without reason.,non è senza ragione.
"Ben so che voi avete un’altr’amanza,","I well know that you have another lover,","So bene che hai un altro amante,"
"La qual tenete in camera, o ’n pregione”.",whom you keep in your bedroom or in some secret place.’,che tenete nella vostra camera da letto o in qualche luogo segreto.
Sì mosterà d’averne gran pesanza.,"And so, she will show her great sorrow over it.”","E così, lei mostrerà il suo grande dolore su di esso."
