Original,Translate_EN,Translate_IT_1
"Vergognia si venne contra Pietade,",Then Modesty moved against Mercy,Poi la Modestà si mosse contro la Misericordia
E molto forte mente la minaccia;,and threatens her very harshly;,e la minaccia molto duramente;
"E quella, che dottava sua minaccia,",and that one who feared her threat,e quello che temeva la sua minaccia
"Sì s’aparechia a mostrar  sua bontade,","prepares to show her goodness,","si prepara a mostrare la sua bontà,"
Ché ben conoscie sua diversitade.,for she knows how cruel Modesty can be.,Perche' sa quanto puo' essere crudele la Modesta'.
"Vergognia a una spada la man caccia,",Modesty takes her sword in hand,Modestà prende la sua spada in mano
Sì disse: «I’ vo’ ben che ciaschedun saccia,and said: “I want everyone to know,"e disse: ""Voglio che tutti sappiano"
Ched i’ te pagherò di tue derate!».,that I will pay you back in kind.”,che vi ripagherò in natura.
"Allora alza la spada a•llei fedire,","Then she raises her sword to strike her,","Poi alza la spada per colpirla,"
"Ma Diletto si venne a•llei atare,",but Delight moved to help Mercy,ma Delight spostato per aiutare la Misericordia
"E di suo scudo la sepe coprire,",and with his shield was able to cover her;,e con il suo scudo era in grado di coprirla;
E poi si torna per lei vendicare.,"and then he turns to avenge her,","e poi si volta per vendicarla,"
Ma Vergognia sapea sì lo schermire,but Modesty knew how to duel so well,ma Modesty sapeva come duellare così bene
Che que’ no•lla potea magagniare.,that he was unable to wound her.,che non era in grado di ferirla.
