Original,Translate_EN,Translate_IT_1
Del mese di gienaio e non di magio,"In the month of January, and not in May,","Nel mese di gennaio, e non in maggio,"
"Fu, quand’i’ presi Amor a signioria,","it was, when I took Love to be my lord","Lo era, quando ho preso l'amore per essere il mio signore"
"E ch’i’ mi misi al tutto in sua ballia,","and placed myself completely in his power,","e mi misi completamente in suo potere,"
"E saramento gli feci, e omaggio,",and swore homage to him.,e gli ha giurato omaggio.
E per più sicurtà gli diedi in gaggio,"And as further assurance, I gave him my heart","E come ulteriore garanzia, gli ho dato il mio cuore"
"Il cor, ch’e’ non avesse gielosia","as a pledge, so that he would not worry","come pegno, in modo che non si preoccupi"
"Ched i’ fedel e puro i’ no•gli sia,",that I might not be true and loyal to him,per non essere fedele a lui
E senpre lui tener a Segniò•Maggio.,and always hold him as my lord and master.,e lo trattenga sempre come il mio signore e padrone.
"Allor que’ prese il cor e disse: «Amico,","Then he took my heart and said: “Friend,","Poi prese il mio cuore e disse: ""Amico,"
I’ son segnior assa’ forte a servire;,I am a very exacting lord to serve;,Sono un signore molto esigente da servire.
"Ma chi mi serve, per cierto ti dico,",but truly I say unto you that the one who serves me,ma in verità vi dico che colui che mi serve
"Ch’ala mia grazia non può già fallire,","will never fail to win my favor,","non mancherà mai di vincere il mio favore,"
"E di buona speranza i’ ’l mi notrico,",and I will nourish him with good hope,e lo nutrirò di buona speranza
Infin ch’i’ gli fornischa su’ disire».,until I satisfy his desire.”,finché non avrò soddisfatto il suo desiderio.
