Original,Translate_EN,Translate_IT_1
"Ad alcun altro, che•ffa lavoraggio,",“Some people work at odd jobs,Alcune persone lavorano a lavori dispari
"Ma ben sua vita trar non ne poria,",but could not survive from these alone;,ma non potevano sopravvivere da soli;
"Sì gli consente Idio ben truandia,",thus God allows them to beg,così Dio permette loro di implorare
"Per quel, che gli falliscie al su’ managio;",for that missing portion of their household needs.,per quella parte mancante delle loro esigenze domestiche.
"Od altro povero, c’avesse   coragio",Another poor man would like,Un altro povero uomo vorrebbe
"Di volere studiar   in chericia,","to study for the priesthood,","studiare per il sacerdozio,"
Gran mercied’è a farli cortesia,and it is a meritorious act to be generous towards him,ed è un atto meritorio essere generosi verso di Lui
Insin ch’e’ sia   de la scienza sagio;,until he is done with his studies.,finché non avrà finito i suoi studi.
E se ’n cavalleria   alcun volesse,And if someone would desire to learn chivalric skills,E se qualcuno volesse imparare abilità cavalleresche
"Intender per la fede asealzare,","in order to elevate himself and promote the faith,","per elevarsi e promuovere la fede,"
"Non falleria   già, sed e’ chiedesse","he would not be wrong to beg,","non avrebbe torto a implorare,"
"Infin ch’e’ sé potesse   ben montare,",until he could amass a goodly sum,fino a quando non ha potuto accumulare una buona somma
E avere spezieria   ch’e’ potesse,and have the necessary capital with which,e avere il capitale necessario con cui
Conduciersi nella terra d’oltremare».,to travel to the land beyond the sea.”,per viaggiare verso la terra al di là del mare.
