Original,Translate_EN,Translate_IT_1
"La Vechia sì rispuose san’ tardare,","The Old Woman answered without delay,",La Vecchia Donna rispose senza indugio:
"Ché ’l male e ’l ben sapea, quantunque n’era:",because she was an expert in good and evil:,perché era un'esperta del bene e del male;
"«Vo’ mi fate [co]sì dolze preghera,",“You make me such a sweet request,Mi fai una richiesta così dolce
Ch’i’ no lo vi saprei giamai vietare.,that I could never refuse you.,che non potrei mai rifiutarti.
Questi gioelli i’ sì vo’ ben portare,I am pleased to take and give,Sono lieto di prendere e dare
"E dargli nella più bella maniera,",these jewels in the best way,questi gioielli nel migliore dei modi
"Che io potrò; ma una lingua fiera,",that I can; but a wicked tongue,"che io posso, ma una lingua malvagia"
"Che quaentr’è, mi fa molto dottare,","that dwells within these walls makes me very fearful,","che abita tra queste mura mi rende molto timoroso,"
"E•cciò è Malabocca maldiciente,","namely Bad Mouth, the slanderer,","cioè Mouth cattivo, il calunniatore,"
"Che truova ognie dì nuovi misfatti,","who every day thinks up new crimes,","che ogni giorno pensa a nuovi crimini,"
"Né non riguarda amico, né parente».",and cares not for friends or relatives.”,e non si prende cura di amici o parenti.
"«No ’l ridottate più giamai a’ fatti,","“Do not fear his deeds anymore,","Non temere più le sue opere,"
"Ché noi sì•ll’abiàn morto, quel dolente,",for we have killed that wretch,perché abbiamo ucciso quel disgraziato
Sanza ch’e’ ’n noi trovasse trieva o patti.,without giving him any truce or conditions.”,senza dargli alcuna tregua o condizioni.
