Original,Translate_EN,Translate_IT_1
"Molto durò tra•llor quella battaglia,","That battle between them went on and on,","La battaglia tra di loro continuò e continuò,"
Che ciascun roba e carni vi si straccia.,and their clothing and bodies were torn to shreds.,e le loro vesti e i loro corpi furono lacerati a brandelli.
L’un l’altro abatte per forza di braccia.,They knock each other down with brute strength.,Si abbattono a vicenda con forza bruta.
"Non fu veduta mai tal trapresaglia,",Such a fight had never been seen:,Una tale lotta non era mai stata vista:
Ché que’ d’entro facien troppo gran taglia,those inside the castle were slaughtering,quelli all'interno del castello stavano massacrando
Di que’ di fuor. Amor allor procaccia,those outside. Then Love proposes a truce,Allora l'Amore propone una tregua
Che tra lor una trieva sì si faccia,"of twenty days, or more,","di venti giorni o più,"
"Di venti dì, o di più, che me’ vaglia;",whichever may be better.,Qualunque sia la cosa migliore.
"Ch’e’ vede ben che mai quella forteza,",For he clearly sees that he would never,Per lui vede chiaramente che non avrebbe mai
"Se•lla madre non v’è, non prenderebe.","take that fortress, if his mother does not take part.","Prendi quella fortezza, se sua madre non partecipa."
Allor la manda a chieder per Francheza.,Then he sends Sincerity to summon her.,Poi manda la sincerità a convocarla.
Contra colei sa ben non si terebe:,He knows that she would not say no to her;,Sa che non le avrebbe detto di no;
"Ché, s’ella il su’ brandon ver’ lor adreza,","if Venus turns her torch against them,","se Venere volge la sua torcia contro di loro,"
Imantenente tutti gli arderebe.,she would immediately set them all on fire.,Li avrebbe immediatamente incendiati tutti.
