Original,Translate_EN,Translate_IT_1
Vergognia contra terra il capo china,"Modesty bows her head toward the ground,","Modesto china la testa verso terra,"
"Ché ben s’avide, ch’ella avea fallato,","for she knew that she had made a mistake,","perché sapeva di aver commesso un errore,"
"E d’un gran velo il viso avea velato,",and covered her face with a large veil.,e coperto il suo viso con un grande velo.
"E sì disse a Paura, sua chugina:","And in this way she spoke to her cousin, Fear:","E così parlò a sua cugina, Fear:"
"«Paura, no’ siàn messe nell’aina","“Fear, we find ourselves hated","Paura, ci troviamo odiati"
"Di Gielosia, e ciò ci à prochacciato","by Jealousy, and this has been done to us","per gelosia, e questo ci è stato fatto"
"Lo Schifo, perch’egli à cortesegiato","by Resistance, because he was courteous","dalla Resistenza, perché era cortese"
"Al bel valetto, ch’i’ vid’ier mattina.",to that handsome lad whom I saw yesterday morning.,a quel bel ragazzo che ho visto ieri mattina.
"Or andiàn tosto, e troviàn quel villano,","Now let’s go quickly to find that uncouth one,","Ora lascia che i mascalzoni vadano rapidamente a trovare quella non couta,"
E gli dirén com’e’ fia malbalito,"and we’ll tell him how badly he’ll be treated,","e noi gli diremo quanto male l'inferno sia trattato,"
"Se Gielosia gli mette adosso mano,",if Jealousy gets her hands on him;,se la gelosia gli mette le mani addosso;
"Ch’egli à ’n ben guardar troppo fallito,","for he has not kept guard the way he should have,","perché non ha custodito il modo in cui avrebbe dovuto,"
"Ch’e’ sì dé eser a ciaschuno strano,",since he should be hostile to everyone;,perché dovrebbe essere ostile a tutti;
E ’l Diavol sì•ll’à ora incortesito».,but the devil has now made him so refined!”,ma il diavolo lo ha reso così raffinato!
