Original,Translate_EN,Translate_IT_1
"Pianto, sospiri, pensieri e afrizione","With weeping, sighs, thoughts and affliction","Con il pianto, i sospiri, i pensieri e le afflizioni"
"Eb’i’ vernando in quel salvagio loco,","I passed the winter in that harsh place,","Ho passato l'inverno in quel luogo duro,"
"Ché pena de Ninferno è riso e gioco,",for the pain of Hell is laughter and play,perché il dolore dell'Inferno è riso e gioco
"Ver’ quella, ch’i’ soffersi a la stagione,",compared to that which I suffered that season,rispetto a quello che ho sofferto quella stagione
C’Amor mi mise a tal distruzione,when Love put me in such distress,quando l'Amore mi ha messo in tale angoscia
Ch’e’ no•mi die’ sogiorno asa’ né poco:,"and gave me no truce, neither little nor great:","e non mi diede tregua, né piccola né grande;"
"Un’or mi tenne in ghiaccio, un’altra ’n foco.","one moment he kept me cold as ice, another on fire:","un momento mi ha tenuto freddo come ghiaccio, un altro in fiamme:"
"Molto m’attene ben sua promessione,","Love certainly kept the promise he made to me,","L'amore ha certamente mantenuto la promessa che mi ha fatto,"
"Ma non di gioia, né di nodrimento.",but not his promise of joy or nourishment!,ma non la sua promessa di gioia o di nutrimento!
Ch’e’ di speranza mi dovea nodrire,"He should have nourished me with hope,","Avrebbe dovuto nutrirmi di speranza,"
Insin ched e’ mi desse giugiamento.,at least until he pronounced his verdict.,Almeno finche' non ha pronunciato il suo verdetto.
"Digiunar me ne fecie, a ver vo dire,","To tell you the truth he made me fast,","A dirti la verita', mi ha fatto in fretta."
"Ma davami gran peze di tormento,","while giving me large servings of torment,","mentre mi dava grandi porzioni di tormento,"
Con salsa stenperata di languire.,with a piquant sauce of anguish.,con una salsa piccante di angoscia.
