Original,Translate_EN,Translate_IT_1
"«Cotesta mi par gran dislealtate»,","“This seems to me to be a great treachery,”","Questo mi sembra essere un grande tradimento,"
"Rispose Amore, «Or non credi tu ’n Cristo?».",answered Love. “Do you not believe in Christ?”,Ha risposto Amore. Non credete in Cristo?
"«I’ non, chéd e’ sarà pover, e tristo","“Not I, for the one who lives for loyalty","Non io, per chi vive per lealtà"
"Colu’, che viverà di lealtade,",will be poor and sad.,sarà povero e triste.
"Sì ch’io non vo’ per me quelle ghignate,",I certainly don’t want that mockery for myself;,Non voglio certo che mi schernisca.
"Ma, come ched i’ possa, i’ pur aquisto,","but I continue to accumulate wealth in any way possible,","ma continuo ad accumulare ricchezze in ogni modo possibile,"
Ché da nessun nonn-è volontier visto,because no one thinks well,perché nessuno pensa bene
"Colui, che man terrà di Povertate,",of the person who’s faithful to poverty;,della persona che è fedele alla povertà;
"Anzi l’alunga ciascuno, ed incaccia,","rather, everyone keeps him far away and chases him off.","anzi, tutti lo tengono lontano e lo cacciano via."
"Già no•lli fia sì amico, né parente,",He has no friend or relative,Non ha amici o parenti.
Ch’egli il vega volontieri in faccia.,who would look him gladly in the face.,che lo guarderebbe volentieri in faccia.
"Sì ch’i’ vogl’anzi c’on mi sia ubidente,","Even though I may not please Christ on this account,","Anche se potrei non piacere a Cristo per questo motivo,"
"Come ch’io a Cristo   ne dispiaccia,",I prefer that people be obedient to me,Preferisco che le persone mi ubbidiscano.
Ched eser in servagio della giente.,and not be servants to others.”,e non essere servitori di altri.
