Original,Translate_IT
Ruppemi l'alto sonno ne la testa,"Mi si spezzò il sonno nella testa un rumore di tuono,"
"un greve truono, sì ch'io mi riscossi",Cosi' difficile che mi sono messa insieme...
come persona ch'è per forza desta;,Come uno che costringe la violenza a svegliarsi.
"e l'occhio riposato intorno mossi,","Ho buttato l'occhio in giro sveglio e libero,"
"dritto levato, e fiso riguardai",Emozionante che vedo
per conoscer lo loco dov'io fossi.,E ha fatto una differenza nel posto in cui ero.
Vero è che 'n su la proda mi trovai,"Così mi sono trovato al bordo della valle, vicino"
de la valle d'abisso dolorosa,"L'abisso angoscioso, il suo divario"
che 'ntrono accoglie d'infiniti guai.,Il tuono ha un'infinità di guai.
Oscura e profonda era e nebulosa,"Era profondo, buio, nebbioso l'aria,"
"tanto che, per ficcar lo viso a fondo,",Ma niente voleva farsi vedere chiaramente...
io non vi discernea alcuna cosa.,Che ho attaccato al fondo della cripta.
"“Or discendiam qua giù nel cieco mondo”,","""Scendiamo al mondo cieco,"
cominciò il poeta tutto smorto.,"Io sono il primo, tu il secondo."""
"“Io sarò primo, e tu sarai secondo”.",Così parlò Virgil per non parlare.
"E io, che del color mi fui accorto,","Io, vedendo i bolli che lo sorpassano,"
"dissi: “Come verrò, se tu paventi","Lingua: Se ti rifiuti di te stesso, come oso"
che suoli al mio dubbiare esser conforto?”.,Il conforto nel dubbio ha vinto solo da te?
Ed elli a me: “L'angoscia de le genti,"E mi disse: ""Il profondo abisso delle piaghe"
"che son qua giù, nel viso mi dipigne","Con pietà, decolora la mia faccia,"
quella pietà che tu per tema senti.,"E non, come credi tu, con la codarda."
"Andiam, ché la via lunga ne sospigne”.","Forte, la strada non ci lascia inciampare."""
Così si mise e così mi fé intrare,Così se ne andò e chiamò il primo cerchio
nel primo cerchio che l'abisso cigne.,"Anche a me, che rimbocca quel divario."
"Quivi, secondo che per ascoltare,","Mi è sembrato, secondo il mio orecchio, la saggezza del suono,"
non avea pianto mai che di sospiri,"Colui che trema nell'aria, nella valle eterna,"
che l'aura etterna facevan tremare;,"Non piangere, solo sospiri duri e silenziosi."
"ciò avvenia di duol sanza martìri,",E questo è venuto dalla sofferenza senza tormento
"ch'avean le turbe, ch'eran molte e grandi,","I figli, gli uomini e le donne, in moltitudini,"
d'infanti e di femmine e di viri.,Molti di loro erano di grande numero e di grandi dimensioni.
Lo buon maestro a me: “Tu non dimandi,"Allora il Maestro disse: ""Non vuoi sapere,"
che spiriti son questi che tu vedi?,A quali fantasmi sei venuto?
"Or vo' che sappi, innanzi che più andi,",Prima che ce ne andiamo... voglio rivelare...
"ch'ei non peccaro; e s'elli hanno mercedi,","Che non peccarono, ma con misericordia"
"non basta, perché non ebber battesmo,","Non il loro merito, poiché non si battezzavano,"
ch'è porta de la fede che tu credi;,La porta e l'ingresso della tua fede è.
"e s'e' furon dinanzi al cristianesmo,","E vivevano anche davanti a Cristo, così onorati"
non adorar debitamente a Dio:,"Lei non è l'Altissimo, come si deve;"
e di questi cotai son io medesmo.,E io stesso chiamo questi fantasmi compagni.
"Per tai difetti, non per altro rio,","Solo questo, nient'altro ci ha portati qui."
"semo perduti, e sol di tanto offesi","Che viviamo nel desiderio senza speranza,"
che sanza speme vivemo in disio”.,"""Ci hai persi solo come punizione."""
"Gran duol mi prese al cor quando lo 'ntesi,","Il mio dolore era grande quando ha rivelato questo,"
però che gente di molto valore,Perche' la gente si e' mostrata di grande valore...
conobbi che 'n quel limbo eran sospesi.,Loro sono in pareggio qui nell'atrio.
"“Dimmi, maestro mio, dimmi, segnore”,","E cominciai: Mio Signore e Maestro, di'"
comincia' io per volere esser certo,"(Volevo rafforzarmi in quella fede,"
di quella fede che vince ogne errore:,"Prima della sua luce sfuggita alla notte dell'errore),"
"“uscicci mai alcuno, o per suo merto","Nessuno è mai venuto per forza di opere appropriate,"
"o per altrui, che poi fosse beato?”.",Con merito straniero da qui alla beatitudine?
"E quei che 'ntese il mio parlar coverto,",Sembrava che notasse il significato nascosto della parola
"rispuose: “Io era nuovo in questo stato,","E disse: ""Ero ancora nuovo in questa sofferenza,"
"quando ci vidi venire un possente,",C'e' un potente che e' entrato.
con segno di vittoria coronato.,Incoronato di gloria e gloria.
"Trasseci l'ombra del primo parente,","Egli ha liberato lo Spirito dell'Inferno,"
"d'Abèl suo figlio e quella di Noè,","Anche Abele, Noè, e Mosè,"
di Moïsè legista e ubidente;,"Il dio ubbidisce, si alza con lui."
"Abraàm patrïarca e Davìd re,","Abramo e Davide seguirono il suo sentiero,"
Israèl con lo padre e co' suoi nati,"Giacobbe, suo padre, separò i suoi figli,"
"e con Rachele, per cui tanto fé,","E anche Rachele, per il quale ha fatto così tanto."
"e altri molti, e feceli beati.","Lei e molti altri, Egli introduce alla pace,"
"E vo' che sappi che, dinanzi ad essi,",Sappi dunque che prima di questi c'era
spiriti umani non eran salvati”.,"Non redimere lo spirito dell'uomo."""
"Non lasciavam l'andar perch'ei dicessi,","Anche se ha parlato, è andato avanti per sempre,"
"ma passavam la selva tuttavia,","Così che in fondo abbiamo attraversato la foresta,"
"la selva, dico, di spiriti spessi.","La foresta, intendo, la fitta banda di fantasmi."
