Original,Translate_EN,Translate_IT_1
S’avessi messo termine a un’ora,“If you’ve made appointments for the same hour,Se hai preso appuntamenti per la stessa ora
"A due, c’avresti fatto gran follia,",with two men – and in this you’ve been very foolish –,con due uomini e in questo si sono stati molto sciocchi
"E l’un conteco in camera sia,","suppose that one of them is with you in the bedroom,","Supponiamo che uno di loro sia con te in camera da letto,"
"E l’altro viene apresso san’ dimora,","and the other one arrives immediately afterwards,","e l'altro arriva subito dopo,"
Al di dietro dirai ch’egl’è ancora,to this second one you will say that,a questo secondo dirai che
"El signior suo lassù, ch’e’ non poria","your husband is still upstairs, and that he should not","Suo marito e' ancora di sopra, e che non dovrebbe..."
"Far dimoranza, ma tost’una fia:","be there too much longer, but one of the following will occur:","essere lì troppo a lungo, ma si verifica uno dei seguenti:"
"“Il fante, o voi, tornate a poca d’ora”.","‘Either you or your servant, come back shortly.’","Either tu o il tuo servo, tornare a breve."
"E poi sì ’l butti fuori, e torni suso","And then she should kick him out and go back upstairs,",E poi dovrebbe buttarlo fuori e tornare di sopra.
"E traga l’altro fuor della burella,","and bring the other one out of the hiding place,","e fai uscire l'altro dal nascondiglio,"
Che molto gli è anoiato star rinchiuso.,where he has not appreciated being locked up;,dove non ha apprezzato di essere rinchiuso;
"Posi la guarnacha, e la gonella,","and then she should take off her robe and dress,","e poi dovrebbe togliersi la vestaglia e vestirsi,"
Diciendo ch’ell’   è tanto stata giuso,saying that she had to be downstairs so long,Diceva che doveva stare di sotto cosi' a lungo.
"Per lo marito, ch’era nella   ciella.","because of her husband, who was in the cellar.”","a causa di suo marito, che era in cantina."
