Original,Translate_EN,Translate_IT_1
Per Bel-Senbiante e per Dolze-Riguardo,By means of Fair Appearance and Sweet Glance,Per mezzo di un'apparenza equa e di una dolce brillantezza
Mi mandò la piaciente ch’i’ andasse,the beautiful one informed me that I should enter,quella bella mi ha informato che dovrei entrare
"Nel su’ giardin, e ch’io il Fior basciase,","her garden and kiss the Flower,","il suo giardino e baciare il Fiore,"
"Né non portasse   già lancia né dardo,",but that I should bring neither spear nor arrow:,"ma per non portare né lance né frecce,"
Ché lo Schifo era fatto sì codardo,for Resistance had become so cowardly,perché la Resistenza era diventata così codarda
Ch’e’ [non] mi bisogniava ch’i ’l dottasse.,there was no need for me to fear him;,non c'era bisogno che io lo temessi;
"Ma tuttor non volea ched i’ v’entrasse,",but nevertheless she did not want me to enter there,ma comunque non voleva che entrassi lì
"Sed e’ non fosse nocte ben a tardo,",unless it were very late at night.,A meno che non fosse molto tardi di notte.
Perciò che Chastità e Gielosia,“Since Chastity and Jealousy,Da castità e gelosia
Sì ànno messo Paura e Vergognia,"have entrusted Fear and Modesty with guarding her,","hanno affidato a Fear e Modesty la sua guardia,"
"In le’ guardar, che non faccia follia,",let’s hope she doesn’t do anything foolish.,Lasciate che la speranza che lei non faccia nulla di stupido.
"Ed un villan, che truov’ognie menzognia,","Moreover, there watches over her an uncourtly one,","Inoltre, la sorveglia male cortesemente,"
"La guarda, il qual fu nato in Normandia:","who invents a pack of lies, Bad Mouth is he,","che inventa un branco di menzogne,"
"Malabocha, «Que’ c’ognie mal sanpogna».","the one born in Normandy, who is the source of all evil.","quello nato in Normandia, che è la fonte di ogni male."
