Original,Translate_EN,Translate_IT_1
"Amor disse a’ baroni: «I’ v’ò mandato,",Love said to the Barons: “I’ve sent for you,L'amore ha detto ai baroni:
"Perch’e’ convien ch’i’ agia il vostro aiuto,",because I need your help,Perche' ho bisogno del tuo aiuto.
"Tanto che quel castel si’ abattuto,","until that castle is brought down,","finché quel castello non sarà abbattuto,"
Che Gielosia di nuovo à già fondato.,the one that Jealousy recently built.,quella che Gelosia ha costruito di recente.
"Onde ciaschun di voi è misurato,","Since each one of you is my sworn ally,","Poiché ognuno di voi è il mio alleato giurato,"
S’i’ vi richegio ch’e’ sia proveduto,I ask you to act,Vi chiedo di agire
"Per voi in tal maniera, che tenuto",in such a way that the castle,in modo tale che il castello
"Non sia più contra me, ma si’ aterrato.","may no longer stand against me, but that it be leveled to the ground.","può non stare più contro di me, ma che sia livellato a terra."
"Ch’e’ pur convien ch’i’ soccorra Durante,","For I must help Durante,","Perche' devo aiutare Durante,"
"Chéd i’ gli vo’ tener sua promessione,","since I want to keep my promise to him,","Da quando voglio mantenere la mia promessa a lui,"
Ché tropo l’ò trovato   fin Amante.,for I have found him to be a very refined lover.,Perche' l'ho trovato un amante molto raffinato.
"Molto penò di torelmi Ragione,",Reason tried very hard to take him away from me;,La ragione ha cercato molto duramente di portarmelo via;
"Que’, come sagio, fu sì fermo e stante",but that one was so wise and tenacious and constant,ma quello era così saggio e tenace e costante
Che no•lle valse nulla su’ sermone».,that Reason’s speech had no effect at all.”,che il discorso dei Reasons non ha avuto alcun effetto.
