Original,Translate_IT
"Quando il settentrïon del primo cielo,",Quando la Septentrion del cielo più alto
che né occaso mai seppe né orto,"(che non sapevano né l'impostazione né l'innalzamento,"
"né d'altra nebbia che di colpa velo,","né velo di nuvole diverse da quelle del peccato,"
e che faceva lì ciascuno accorto,e che rendevano consapevoli tutti quelli che vi erano
"di suo dover, come 'l più basso face","Di suo dovere, come fa il più basso"
"qual temon gira per venire a porto,",Chi gira il timone per venire al porto)
"fermo s'affisse: la gente verace,","Senza movimento fermato, la gente verace,"
"venuta prima tra 'l grifone ed esso,","All'inizio, tra questo e il Griffin..."
al carro volse sé come a sua pace;,"Si sono rivolti alla macchina, per quanto riguarda la loro pace."
"e un di loro, quasi da ciel messo,","E uno di loro, come per ordine del Cielo,"
"'Veni, sponsa, de Libano' cantando","Cantando, ""Veni, sponsa, de Libano"""
"gridò tre volte, e tutti li altri appresso.","Ho urlato tre volte, e tutti gli altri dopo."
Quali i beati al novissimo bando,Anche come il Beato all'ultima convocazione
"surgeran presti ognun di sua caverna,","Si leverà ciascuno dalla sua caverna,"
"la revestita voce alleluiando,","Sollevando la luce la carne reinvestita,"
cotali in su la divina basterna,Così su quel carro celeste
"si levar cento, ad vocem tanti senis,","Cento rose ad vocem tanti senis,"
ministri e messagger di vita etterna.,Ministri e messaggeri di vita eterna.
"Tutti dicean: 'Benedictus qui venis!',","Dicevano tutti: ""Benedictus qui venis."""
"e fior gittando e di sopra e dintorno,","E, spargendo fiori sopra e intorno,"
"'Manibus, oh, date lilïa plenis!'.","""Manibus o date lilia plenis."""
Io vidi già nel cominciar del giorno,"Ora ho visto, come cominciò il giorno,"
"la parte orïental tutta rosata,","L'emisfero orientale tutto tinto di rosa,"
e l'altro ciel di bel sereno addorno;,e l'altro cielo di bella serena adorna;
"e la faccia del sol nascere ombrata,","E il volto del sole, l'insurrezione, l'ombra"
sì che per temperanza di vapori,Così che temperando l'influenza dei vapori
l'occhio la sostenea lunga fïata:,Per un lungo intervallo l'occhio lo ha sostenuto;
così dentro una nuvola di fiori,Così nel seno di una nuvola di fiori
che da le mani angeliche saliva,"che da quelle mani angelica ascese,"
"e ricadeva in giù dentro e di fori,","E giù cadde di nuovo dentro e fuori,"
sovra candido vel cinta d'uliva,Sopra il suo velo bianco-neve con la cinta d'ulivo
"donna m'apparve, sotto verde manto","Sembrava una signora sotto un mantello verde,"
vestita di color di fiamma viva.,Vestito nel colore della fiamma viva.
"E lo spirito mio, che già cotanto","E il mio stesso spirito, che già ora"
tempo era stato ch'a la sua presenza,"Così tanto tempo era stato, che in sua presenza"
"non era di stupor, tremando, affranto,","Tremava di timore non si era levata in piedi abbashed,"
"sanza de li occhi aver più conoscenza,","Senza più conoscenza avendo dai miei occhi,"
"per occulta virtù che da lei mosse,",Attraverso virtù occulta che da lei procedeva
d'antico amor sentì la gran potenza.,Dell'antico amore la possente influenza si sentiva.
Tosto che ne la vista mi percosse,Non appena sulla mia visione colpì il potere
l'alta virtù che già m'avea trafitto,"Sublime, che mi aveva già trafitto"
"prima ch'io fuor di püerizia fosse,","Provenivo dalla mia giovinezza,"
volsimi a la sinistra col respitto,A sinistra ho girato con quella fiducia
col quale il fantolin corre a la mamma,"Con cui il bambino corre da sua madre,"
"quando ha paura o quando elli è afflitto,","Quando ha paura, o quando è afflitto,"
per dicere a Virgilio: 'Men che dramma,"Dire a Virgilio: ""Non un dracma"
di sangue m'è rimaso che non tremi:,"di sangue rimane in me, che non trema;"
conosco i segni de l'antica fiamma'.,"Conosco le tracce dell'antica fiamma."""
Ma Virgilio n'avea lasciati scemi,Ma noi Virgilio di se stesso privato
"di sé, Virgilio dolcissimo patre,","Se n'era andato, Virgilio, il più dolce di tutti i padri,"
Virgilio a cui per mia salute die'mi;,"Virgilio, al quale io per sicurezza mi diedi:"
"né quantunque perdeo l'antica matre,",E non ha perso l'antica madre.
valse a le guance nette di rugiada,"Mi si sono scavate le guance purificate dalla rugiada,"
"che, lagrimando, non tornasser atre.",Che piangere non dovrebbe essere di nuovo oscurato.
"“Dante, perché Virgilio se ne vada,","""Dante, perché Virgilio è partito"
"non pianger anco, non piangere ancora;","Non piangete ancora, non piangete ancora per un po'."
ché pianger ti conven per altra spada”.,"Per un'altra spada devi piangere."""
Quasi ammiraglio che in poppa e in prora,"E' un ammiraglio, che alla cacca e alla prua"
viene a veder la gente che ministra,Viene a vedere le persone che stanno lavorando
"per li altri legni, e a ben far l'incora;","in altre navi, e li acclama al bene-fare,"
"in su la sponda del carro sinistra,","Sul bordo sinistro dell'auto,"
"quando mi volsi al suon del nome mio,","Quando al suono ho girato il mio nome,"
"che di necessità qui si registra,","Quale di necessità è qui registrato,"
vidi la donna che pria m'appario,"Vidi la Signora, che prima apparve"
"velata sotto l'angelica festa,","Velato sotto la festa angelica,"
drizzar li occhi ver' me di qua dal rio.,Dirigete i suoi occhi verso di me dall'altra parte del fiume.
"Tutto che 'l vel che le scendea di testa,","Anche se il velo, che dalla sua testa discese,"
"cerchiato de le fronde di Minerva,","Circondato dal fogliame di Minerva,"
"non la lasciasse parer manifesta,","non le permise di apparire distintamente,"
regalmente ne l'atto ancor proterva,In atteggiamento ancora regalmente maestoso
continüò come colui che dice,"Continuò, come a colui che parla,"
e 'l più caldo parlar dietro reserva:,E mantiene la sua più calda espressione in riserva:
"“Guardaci ben! Ben son, ben son Beatrice.","""Guardami bene; in pace sono Beatrice!"
Come degnasti d'accedere al monte?,Come ti sei degnato di venire sulla montagna?
non sapei tu che qui è l'uom felice?”.,"Non sapevi che l'uomo è felice qui?"""
Li occhi mi cadder giù nel chiaro fonte;,"I miei occhi sono caduti giù nella fontana limpida,"
"ma veggendomi in esso, i trassi a l'erba,","Ma, vedendomi in essa, cercai l'erba,"
