Original,Translate_IT
"Come l'augello, intra l'amate fronde,","Cosi' come l'uccello, tra amati rami,"
posato al nido de' suoi dolci nati,"quando, attraverso la notte che ci nasconde le cose,"
"la notte che le cose ci nasconde,",si è riposato vicino al nido dei suoi dolci piccoli
"che, per veder li aspetti disïati","e, su un ramo aperto, anticipa"
"e per trovar lo cibo onde li pasca,",il tempo in cui può vedere i loro volti anelati
"in che gravi labor li sono aggrati,",e trovare il cibo con cui nutrirli-coro
"previene il tempo in su aperta frasca,","che le fa piacere, per quanto duro sia il suo lavoro..."
"e con ardente affetto il sole aspetta,","mentre attende il sole con caldo affetto,"
fiso guardando pur che l'alba nasca;,in attesa che l'alba si spenga:
così la donna mïa stava eretta,"Cosi' come la mia signora si e' alzata, eretta, intenzionata,"
"e attenta, rivolta inver' la plaga",rivolto verso quella parte del cielo sotto la quale
sotto la quale il sol mostra men fretta:,"il sole è dato a meno fretta; in modo che,"
"sì che, veggendola io sospesa e vaga,","come l'ho vista nel desiderio e nella suspense,"
fecimi qual è quei che disïando,"Sono cresciuto come uno che, mentre lui vuole"
"altro vorria, e sperando s'appaga.","ciò che non è suo, è soddisfatto della speranza."
"Ma poco fu tra uno e altro quando,",Ma il tempo tra l'uno e l'altro quando
"del mio attender, dico, e del vedere",è stato breve- intendo il quando di attesa e
lo ciel venir più e più rischiarando;,di vedere il cielo diventare più radioso.
e Bëatrice disse: “Ecco le schiere,"E Beatrice disse: ""Là vedi le truppe"
del trïunfo di Cristo e tutto 'l frutto,di Cristo trionfante e di tutti i frutti
ricolto del girar di queste spere!”.,"""Raccompagnati dalla svolta di queste sfere!"""
"Pariemi che 'l suo viso ardesse tutto,","Mi sembrava che il suo viso fosse tutto fiammeggiante,"
"e li occhi avea di letizia sì pieni,",e c'era tanta gioia nei suoi occhi...
che passarmen convien sanza costrutto.,Sono costretto a lasciarlo inesplorato.
Quale ne' plenilunïi sereni,Come Trivia-alla luna piena in cielo limpido...
Trivïa ride tra le ninfe etterne,sorridente tra le ninfe eterne
"che dipingon lo ciel per tutti i seni,","che abbelliscono tutti gli angoli del cielo,"
vid'i' sopra migliaia di lucerne,Vidi un sole sopra mille lampade;
"un sol che tutte quante l'accendea,",ha acceso tutti loro come fa il nostro sole
