Original,Translate_EN,Translate_IT_1
"Udendo quella nobile novella,",Hearing that noble tale,Sentire quella nobile storia
"Che que’ gienti messagi m’aportaro,","brought to me by those courteous messengers,","mi sono stati portati da quei messaggeri cortesi,"
Sì forte mente il cuor   mi confortaro,I felt such great comfort in my heart,Ho provato tanta consolazione nel mio cuore.
Che di gioia perde’ quasi la favella.,that out of joy I almost lost the power of speech.,che per gioia ho quasi perso il potere della parola.
"Nel giardin me n’anda’ tutto ’n gonella,","Into the garden I went in my gonella,","Nel giardino sono entrato nella mia gonella,"
"Sanz’armadura, com’e’ comandaro,","without any weapons, as they had commanded.","senza armi, come avevano comandato."
E sì trovai quella col viso chiaro.,"There I found that one with the resplendent face,","Lì ho trovato quello con la faccia risplendente,"
"Bellacoglienza tosto a•ssé m’apella,","Fair Welcome, who immediately called me to her","Benvenuto giusto, che mi ha chiamato subito a lei"
"E disse: «Vien avanti e bascia ’l Fiore,",and said: “Step forward and kiss the Flower;,"e disse: ""Passa avanti e bacia il Fiore;"
"Ma guarda di far cosa che mi spiaccia,","but don’t do anything that would displease me,","ma non fare nulla che mi dispiaccia,"
Ché•ttu ne perderesti ognie mio amore».,because you would lose all my love.”,perché perderesti tutto il mio amore.
"Sì ch’i’ alor feci croce de le braccia,","Thus I crossed my arms,","Così incrociai le braccia,"
E sì ’l basciai co•molto gran tremore.,"and kissed the Flower with great trembling,","e baciò il Fiore con grande tremore,"
Sì forte ridottava suo minaccia.,so fearful was I of her menacing words.,così spaventoso ero io delle sue parole minacciose.
