Original,Translate_EN,Translate_IT_1
Sentendomi ismagato malamente,When I felt myself so drained,Quando mi sentivo così prosciugato
"Del molto sangue, ch’io avea perduto,",because of all the blood I’d lost,a causa di tutto il sangue che ho perso
E’ non sapea dove trovar aiuto.,"and did not know where to find help,","e non sapeva dove trovare aiuto,"
Lo Dio d’Amor si venne a me presente,in a flash the God of Love was there,in un lampo c'era il Dio dell'Amore
E dissemi: «Tu•ssai veramente,and said: “You surely know,"e disse: ""Sì, lo sai."""
Che•ttu mi sè intra•lle man caduto,that you have fallen into my hands,che sei caduto nelle mie mani
"Per le saette, di ch’i’ t’ò feruto,",thanks to the arrows with which I wounded you;,grazie alle frecce con le quali ti ho ferito;
Sì ch’e’ convien che•ttu mi sie ubidente».,"thus, you must obey me.”","così, dovete obbedirmi."
Ed i’ risposi: «I’ sì son tutto presto,And I replied: “I’m ready,E io ho risposto:
"Di farvi pura e fina fedeltate,","to give you my true and noble loyalty,","per darti la mia vera e nobile lealta',"
Più ch’assesino a Vellio o a Dio il Presto».,greater than the assassin’s to the Veglio or Prester John’s to God.”,maggiore dell'assassino [57] al Veglio o Prester John [56] a Dio.
"E quelli allor mi puose, in veritate,","And then, in truth, he put his lips","E poi, in verità, ha messo le labbra"
"La sua bocha ala mia, sanz’altro aresto,",to mine and said without a pause:,al mio e disse senza una pausa:
E disse: «Pensa di farmi lealtate».,“Be loyal to me.”,Siate fedeli a me.
