Original,Translate_EN,Translate_IT_1
"Sed i’ truovo in cittade o in castello,","“If I find a city or castle,","Se trovo una città o un castello,"
"Colà ove paterino sia riparato,","in which a Paterin may have taken refuge,","in cui un Paterin si rifugia,"
"Crede[n]te ched e’ sia [o] consolato,","whether he be a or a ,","che sia un o un ,"
"Od altr’uon, ma’ ch’e’ sia mio ribello,","or any one else, provided he is my enemy,","o chiunque altro, a patto che sia mio nemico,"
"O prete ched e’ sia, o chericiello,",whether he be a priest or a young cleric,che sia un prete o un giovane chierico
"Che tenga amica, o giolivo parlato,","who has a lover, or a pleasure-seeking prelate,","che ha un amante o un prelato alla ricerca del piacere,"
"E’ convien ch’e’ per me sia gastigato,","I must punish them all,",Devo punirli tutti.
"Ché ciaschedun mi dubita, sì son fello.","because everyone fears me, so wicked am I.","perché tutti mi temono, sono così malvagio."
"Ancor gastigo altressì usurai,","Moreover, I punish usurers,","Inoltre, punisco gli usurai,"
"E que’ che sopravendono a credenza,","and those who sell on credit with inflated prices,","e quelli che vendono a credito a prezzi gonfiati,"
"Roffiane, et forziere, e bordelai.",ruffians and spell-binders and pimps.,"Ruffiani, incantesimi e papponi."
E ’n ciascuno i’ ò malivoglenza;,For each of them I feel great hatred;,Per ognuno di loro provo grande odio;
"Ma che che duolo tu senti, no ’l dirai,","but however much pain you feel, you will not complain,","ma per quanto dolore provi, non ti lamenterai,"
Sì fortemente dotti mia sentenza.,so strongly do you fear my judgment.”,così fortemente temete il mio giudizio.
