Original,Translate_EN,Translate_IT_1
Quando Sicurtà vide c’Ardimento,When Safety saw that Boldness,Quando la sicurezza ha visto che Boldness
"Contra Paura avea tutto perduto,","had lost everything against Fear,","aveva perso tutto contro la paura,"
"Sì corse là per dargli il su’ aiuto,",she hurried there to give him help,Lei si è affrettata lì per dargli aiuto
E cominciò il su’ torniamento.,and began her own combat.,e ha iniziato il suo combattimento.
Ma contra lei non ebe duramento.,But against her she could not last long:,Ma contro di lei non poteva durare a lungo:
"Paura quello stormo ebe vincuto,","Fear had won that skirmish,","La paura aveva vinto quella schermaglia,"
"E anche un altro, s’e’ vi fosse essuto,","and even another, if there had been one.","e anche un altro, se ce ne fosse stato uno."
Ma Sicurtà si ebe acorgimento:,But Safety was very shrewd:,Ma la sicurezza era molto astuta:
Ispada e scudo gittò tosto in terra,she threw her sword and shield to the ground,ha gettato la spada e lo scudo a terra
"E mantenente, con anbo le mani,","and immediately, with both hands,","e subito, con entrambe le mani,"
A le tenpie a Paura sì s’aferra.,grabs Fear around the head.,afferra la paura intorno alla testa.
"E gli altri, ch’eran tutti lassi e vani,","And the others, who were all weary and without strength,","E gli altri, che erano tutti stanchi e senza forza,"
Ciascun si levò suso e sì s’aferra,got up and throw themselves,si alzarono e si gettarono
"A quella zuffa, com’e’ fosser cani.","into that scuffle, as though they were dogs.","in quella litigata, come se fossero cani."
