Original,Translate_EN,Translate_IT_1
"Malgrado di Richeza, la spietata,","I’ve had all this despite heartless Wealth,","Ho avuto tutto questo nonostante la Ricchezza senza cuore,"
"Ch’unquanche di pietà non seppe usare,",who never showed any compassion,che non ha mai mostrato alcuna compassione
"Che del camino, c’à nome Troppo-Dare,",and who delighted in denying me access,e che si è compiaciuto nel negarmi l'accesso
Le piaque di vietarmene l’entrata;,to the path whose name is Extravagance!,al sentiero il cui nome è Extravagance!
"Ancor di Gielosia, ch’è•ssì spietata,","All this despite Jealousy, who is so heartless","Tutto questo nonostante la gelosia, che è così senza cuore"
Che dagli amanti vuole il Fior guardare!,that she wants to protect the Flower from lovers!,che vuole proteggere il Fiore dagli amanti!
"Ma pure ’l mio non sep’ella murare,",But still she was unable to imprison my Flower so well,Ma ancora non era in grado di imprigionare il mio fiore così bene
"Ched i’ non vi trovasse alcuna entrata,",that I could not find an entranceway.,che non riuscivo a trovare un ingresso.
"Ond’io le tolsi il Fior, ch’ella guardava,","Thus, I took from her the Flower she was guarding:",Così le presi il Fiore che custodiva:
"E sì ne stava   in sì gran sospezone,",so great was her concern,così grande era la sua preoccupazione
Che•lla sua giente tuttor vi veghiava.,that her henchmen were always keeping watch.,che i suoi scagnozzi erano sempre di guardia.
"Bella coglienza ne tenne in pregione,","Jealousy kept Fair Welcome in prison,","La gelosia ha tenuto Fiera Benvenuta in prigione,"
"Perch’ella punto in lei non si fidava,",because she placed no trust in her at all:,perché non si fidava affatto di lei
E sì n’er’ella dona di ragione!,and yet Fair Welcome was the proper mistress of the Flower.,Ma il benvenuto era la vera amante del Fiore.
