Original,Translate_IT
"'Per me si va ne la città dolente,","""Per mezzo di me la via è verso la città dolente;"
"per me si va ne l'etterno dolore,",Attraverso di me la via è quella del dole eterno;
per me si va tra la perduta gente.,Attraverso di me la strada tra le persone perse.
Giustizia mosse il mio alto fattore;,La giustizia ha incitato il mio sublime Creatore;
"fecemi la divina podestate,","Mi ha creato l'Onnipotenza divina,"
la somma sapïenza e 'l primo amore.,La Sapienza più alta e l'Amore primitivo.
Dinanzi a me non fuor cose create,"Prima di me non c'erano cose create,"
"se non etterne, e io etterno duro.",Solo l'eternita'... e l'eternita'.
"Lasciate ogne speranza, voi ch'intrate'.","Ogni speranza abbandona, voi che entrate!"""
Queste parole di colore oscuro,Queste parole nel colore cupo che ho visto
vid'ïo scritte al sommo d'una porta;,Scritto sulla sommità di un cancello;
"per ch'io: “Maestro, il senso lor m'è duro”.","Da dove io: ""Il loro senso è, Maestro, difficile per me!"""
"Ed elli a me, come persona accorta:","E lui a me, come uno ha sperimentato:"
“Qui si convien lasciare ogne sospetto;,"""Qui ogni sospetto deve essere abbandonato,"
ogne viltà convien che qui sia morta.,Tutta la codardia deve essere qui estinta.
Noi siam venuti al loco ov'i' t'ho detto,"Siamo arrivati al posto, dove ti ho detto"
che tu vedrai le genti dolorose,Vedrete il popolo doloroso
c'hanno perduto il ben de l'intelletto”.,"che hanno sconfitto il bene dell'intelletto."""
E poi che la sua mano a la mia puose,E dopo aver posato la mano sulla mia
"con lieto volto, ond'io mi confortai,","Con mien gioioso, da dove sono stato confortato,"
mi mise dentro a le segrete cose.,Mi condusse tra le cose segrete.
"Quivi sospiri, pianti e alti guai","Ci sospirano, lamentano e ululano forte"
"risonavan per l'aere sanza stelle,","Risuonava nell'aria senza una stella,"
per ch'io al cominciar ne lagrimai.,"Da dove io, all'inizio, piansi."
"Diverse lingue, orribili favelle,","Lingue diverse, dialetti orribili,"
"parole di dolore, accenti d'ira,","Accenti di rabbia, parole d'agonia,"
"voci alte e fioche, e suon di man con elle","voci alte e raucedine, con rumore di mani,"
"facevano un tumulto, il qual s'aggira",Inventato un tumulto che va vortice su
"sempre in quell'aura sanza tempo tinta,","Per sempre in quell'aria per sempre nera,"
come la rena quando turbo spira.,"Anche come fa la sabbia, quando il turbine respira."
"E io ch'avea d'error la testa cinta,","E io, che avevo la testa legata all'orrore,"
"dissi: “Maestro, che è quel ch'i' odo?","Disse: ""Maestro, cos'è questo che ora sento?"
e che gent' è che par nel duol sì vinta?”.,"Che gente è questa, che sembra dal dolore così sconfitto?"""
Ed elli a me: “Questo misero modo,"E lui a me: ""Questa miserabile modalità"
tegnon l'anime triste di coloro,Mantenere le anime malinconiche di quelli
che visser sanza 'nfamia e sanza lodo.,Che viveva senza infamia o lode.
Mischiate sono a quel cattivo coro,Commentati sono con quel coro caitiffo
de li angeli che non furon ribelli,"degli Angeli che non si sono ribellati,"
"né fur fedeli a Dio, ma per sé fuoro.","Non erano fedeli a Dio, ma erano per se stessi."
"Caccianli i ciel per non esser men belli,","I cieli li scacciarono, per non essere meno giusti;"
"né lo profondo inferno li riceve,","né li riceve l'abisso più in basso,"
ch'alcuna gloria i rei avrebber d'elli”.,"Per gloria nessuno i dannati avrebbe avuto da loro."""
"E io: “Maestro, che è tanto greve","E io: ""O Maestro, ciò che è così doloroso è"
a lor che lamentar li fa sì forte?”.,"A questi, che li fa lamentarsi così doloroso?"""
Rispuose: “Dicerolti molto breve.,"Egli rispose: ""Te lo dirò molto brevemente."
"Questi non hanno speranza di morte,",Essi non hanno più alcuna speranza di morte;
"e la lor cieca vita è tanto bassa,","E questa loro vita cieca è così umiliata,"
che 'nvidïosi son d'ogne altra sorte.,Invidiano ogni altro destino.
Fama di loro il mondo esser non lassa;,Nessuna fama di loro il mondo permette di essere;
misericordia e giustizia li sdegna:,Misericord e Giustizia li disdegnano entrambi.
"non ragioniam di lor, ma guarda e passa”.","Non parliamo di loro, ma guardiamo e passiamo."""
"E io, che riguardai, vidi una 'nsegna","E io, che ho guardato di nuovo, ho visto uno striscione,"
"che girando correva tanto ratta,","Che, girando intorno, ha funzionato così rapidamente,"
che d'ogne posa mi parea indegna;,Quello di tutto pausa mi sembrò indignato;
e dietro le venìa sì lunga tratta,E dopo è arrivato così a lungo un treno
"di gente, ch'i' non averei creduto","Delle persone, che non avrei mai creduto"
che morte tanta n'avesse disfatta.,Che la morte in tanti si era sciolta.
"Poscia ch'io v'ebbi alcun riconosciuto,","Quando alcuni di loro li avevo riconosciuti,"
vidi e conobbi l'ombra di colui,"Ho guardato, e ho visto l'ombra di lui"
che fece per viltade il gran rifiuto.,Colui Che ha fatto per vigliaccheria il grande rifiuto.
Incontanente intesi e certo fui,"Con ciò ho compreso ed ero certo,"
"che questa era la setta d'i cattivi,",Che questa la setta era dei miserabili caitiff
a Dio spiacenti e a' nemici sui.,Odioso a Dio e ai suoi nemici.
"Questi sciaurati, che mai non fur vivi,","Questi miscredenti, che non sono mai stati vivi,"
erano ignudi e stimolati molto,"Erano nudi, e sono stati punto eccessivamente"
da mosconi e da vespe ch'eran ivi.,Con le gadf e i calabroni che c'erano.
"Elle rigavan lor di sangue il volto,","I loro volti si sono irrigati di sangue,"
"che, mischiato di lagrime, a' lor piedi","che, con le loro lacrime mescolate, ai loro piedi"
da fastidiosi vermi era ricolto.,Per i vermi disgustosi era stato raccolto.
"E poi ch'a riguardar oltre mi diedi,","E quando guardare piu' lontano, ho scommesso di avermi portato."
vidi genti a la riva d'un gran fiume;,Persone che ho visto sulla riva di un grande fiume.
"per ch'io dissi: “Maestro, or mi concedi","Da dove ho detto: ""Maestro, ora garantiscimi,"
"ch'i' sappia quali sono, e qual costume",perché io sappia chi sono questi e quale legge
"le fa di trapassar parer sì pronte,","Li fa sembrare così pronti a passare sopra,"
com'i' discerno per lo fioco lume”.,"Come ho discernere athwart la luce scura."""
Ed elli a me: “Le cose ti fier conte,"Ed egli a me: ""Tutte queste cose saranno conosciute"
quando noi fermerem li nostri passi,"A te, non appena rimarremo i nostri passi"
