Original,Translate_IT_1
"Sì come dice lo Filosofo nel principio della Prima Filosofia, tutti li uomini naturalmente desiderano di sapere. La ragione di che puote essere [ed] è che ciascuna cosa, da providenza di prima natura impinta, è inclinabile alla sua propia perfezione; onde, acciò che la scienza è ultima perfezione della nostra anima, nella quale sta la nostra ultima felicitade, tutti naturalmente al suo desiderio semo subietti.","Come dice il Filosofo all'inizio della Metafisica, tutti gli uomini naturalmente desiderano porre la conoscenza. Questo può e deve essere fatto risalire al fatto che ogni essere ha un impulso insito nella propria natura che la indirizza verso la propria perfezione. Poiché la conoscenza è la più alta perfezione della nostra anima, in cui si trova la nostra felicità suprema, siamo tutti per la nostra stessa natura guidati dal desiderio di raggiungere questo."
"Veramente da questa nobilissima perfezione molti sono privati per diverse cagioni, che dentro all'uomo e di fuori da esso lui rimovono dall'abito di scienza.","Molti, tuttavia, sono privati di questa perfezione più nobile da varie cause, sia interne che esterne all'uomo, che impediscono la sua conoscenza in possesso."
"Dentro dall'uomo possono essere due difetti e impedi[men]ti: l'uno dalla parte del corpo, l'altro dalla parte dell'anima. Dalla parte del corpo è quando le parti sono indebitamente disposte, sì che nulla ricevere può, sì come sono sordi e muti e loro simili. Dalla parte dell'anima è quando la malizia vince in essa, sì che si fa seguitatrice di viziose dilettazioni, nelle quali riceve tanto inganno che per quelle ogni cosa tiene a vile.","Ci sono due possibili deficienze o ostacoli interni all'uomo, uno relativo al suo corpo, l'altro alla sua anima. Quello relativo al suo corpo si verifica quando i suoi organi corporei sono formati impropriamente, lasciandolo incapace di ricevere impressioni attraverso di loro, come accade con i sordomuti e simili. Quello relativo alla sua anima si verifica quando l'anima è dominata dal male facendosi un devoto di piaceri dannosi; questi portano tale disillusione che l'anima, a causa della sua esperienza con loro, tiene tutto ad essere inutile."
"Di fuori dall'uomo possono essere similemente due cagioni intese, l'una delle quali è induttrice di necessitade, l'altra di pigrizia. La prima è la cura familiare e civile, la quale convenevolemente a sé tiene delli uomini lo maggior numero, sì che in ozio di speculazione essere non possono. L'altra è lo difetto del luogo dove la persona è nata e nutrita, che tal ora sarà da ogni studio non solamente privato, ma da gente studiosa lontano.","Allo stesso modo si possono specificare due cause esterne all'uomo, l'una che si traduce in un vincolo inevitabile, l'altra nella pigrizia. Il primo è la responsabilità familiare e civica, che assorbe adeguatamente le energie della maggior parte degli uomini, con il risultato che non riescono a trovare il tempo libero necessario per coltivare la mente. L'altro è una carenza nel luogo in cui una persona è nata e cresciuta: questo è talvolta tale che non solo manca di qualsiasi istituto di apprendimento superiore, ma è anche lontana dalla compagnia di persone istruite."
"Le due di queste cagioni, cioè la prima dalla parte [di dentro e la prima dalla parte] di fuori, non sono da vituperare, ma da escusare e di perdono degne; le due altre, avegna che l'una più, sono degne di biasimo e d'abominazione.","Due di queste cause, la prima in ciascuna delle coppie di cui sopra, non meritano la censura, e meritano piuttosto di essere scusati e perdonati. Gli altri due, anche se in misura diversa, meritano la colpa e l'odio."
"Manifestamente adunque può vedere chi bene considera, che pochi rimangono quelli che all'abito da tutti desiderato possano pervenire, e innumerabili quasi sono li 'mpediti che di questo cibo sempre vivono affamati.","Chiunque rifletta su questo può chiaramente vedere che ci sono solo poche persone che possono raggiungere ciò che tutti desiderano possedere, e che coloro che sono ostacolati da questo fare, e passare tutta la loro vita affamati di questo cibo, sono quasi oltre il numero."
Oh beati quelli pochi che seggiono a quella mensa dove lo pane delli angeli si manuca! e miseri quelli che colle pecore hanno comune cibo!,"Beati i pochi che si siedono a tavola, dove si nutrono del pane degli angeli, e pietosi quelli che mangiano le pecore!"
"Ma però che ciascuno uomo a ciascuno uomo naturalmente è amico, e ciascuno amico si duole del difetto di colui ch'elli ama, coloro che a così alta mensa sono cibati non sanza misericordia sono inver di quelli che in bestiale pastura veggiono erba e ghiande se[n] gire mangiando.","Tuttavia, poiché ogni uomo è per sua natura un amico di ogni altro uomo, e ogni amico è addolorato da una carenza in colui che ama, coloro che sono nutriti a una tavola così esaltata non mancano di compassione verso coloro che vedono vagare nei pascoli animali che si nutrono di erba e ghiande."
"E acciò che misericordia è madre di beneficio, sempre liberalmente coloro che sanno porgono della loro buona ricchezza alli veri poveri, e sono quasi fonte vivo, della cui acqua si refrigera la naturale sete che di sopra è nominata.","Poiché, anche, la compassione è la madre dell'azione gentile, coloro che possiedono la conoscenza danno sempre generosamente dalla loro vera ricchezza a coloro che sono veramente poveri; sono come una fontana vivente le cui acque placano la sete naturale di cui si parla sopra."
"E io adunque, che non seggio alla beata mensa, ma, fuggito della pastura del vulgo, a' piedi di coloro che seggiono ricolgo di quello che da loro cade, e conosco la misera vita di quelli che dietro m'ho lasciati, per la dolcezza ch'io sento in quello che a poco a poco ricolgo, misericordievolemente mosso, non me dimenticando, per li miseri alcuna cosa ho riservata, la quale alli occhi loro, già è più tempo, ho dimostrata; e in ciò li ho fatti maggiormente vogliosi.","Questa è la mia intenzione qui. Non che io mi sieda a quella tavola benedetta; ma, essendomi fuggito dal pascolo del popolo comune, e prendendo il mio posto ai piedi di quelli che sono seduti, raccogli un po' di ciò che lasciano cadere. E, pieno della dolcezza che provo in ciò che raccolgo a poco a poco, riconosco la pietà della vita di coloro che ho lasciato indietro. Così, commosso dalla compassione, senza dimenticare me stesso, ho messo da parte qualcosa per quei miseri miseri, che ho messo davanti ai loro occhi un po' di tempo fa, e così facendo ha aumentato il loro desiderio."
