Original,Translate_EN,Translate_IT_1
"«Ragion, tu sì mi vuo’ trar   d’amare,","“Reason, you want to keep me from loving,","E' una ragione, vuoi impedirmi di amare,"
"E di’ che questo mi’ signor è reo,",and you say that this lord of mine is harmful,e tu dici che questo mio signore è dannoso
"E ch’e’ non fu d’Amor unquanche Deo,","and that, according to your word, he never was","e che, secondo la tua parola, non è mai stato"
"Ma di Dolor, secondo il tu’ parlare.","the God of Love, but of Pain.","il Dio dell'Amore, ma del dolore."
"Da•llui partir, non credo ma’ pensare,","I would never think of departing from him,","Non avrei mai pensato di allontanarmi da lui,"
"Né tal consiglio non vo’ creder eo,","nor do I want to follow your advice,","né voglio seguire il tuo consiglio,"
Chéd egli è mi’ Segnior ed i’ son seo,because he is my Lord and I am his,perché è il mio Signore e io sono il suo
"Fedel, sì è follia   di ciò parlare.","faithful servant; thus, it’s madness to speak of such things.","servitore fedele; così, essa è follia a parlare di tali cose."
Per ch’e’ mi par   che ’l tu’ consiglio sia,For this reason it seems to me that your advice goes,Per questo mi sembra che il tuo consiglio vada
"Fuor di tu’ nome troppo oltre misura,","beyond the bounds of your name,","oltre i limiti del tuo nome,"
Che sanza Amor nonn-è altro ch’enuìa.,because to be without love is nothing but a burden.,perché essere senza amore non è altro che un peso.
"Se Fortuna m’à tolto or mia   ventura,","If Fortune has taken away my good luck,","Se la Fortuna mi ha portato via la fortuna,"
"Ella torna la rota tuttavia,","she will continue to turn her wheel,","continuerà a girare la ruota,"
"E quell’è quel, che molto m’asicura».",and that is what gives me assurance.”,e questo è ciò che mi dà la garanzia.
