Original,Translate_IT_1
"Nello precedente capitolo questa gloriosa donna è commendata secondo l'una delle sue parti componenti, cioè amore. Ora in questo, nello quale io intendo esponere quel verso che comincia: Cose appariscon nello suo aspetto, si conviene trattare commendando l'altra parte sua, cioè sapienza.","Nel capitolo precedente ho elogiato questa gloriosa signora per quanto riguarda una delle sue parti costitutive, l'amore. In questo capitolo che dedicherò a commentare l'inizio della stanza: Le cose appaiono nel suo volto Devo procedere con la discussione elogiando l'altra parte, la saggezza."
"Dice adunque lo testo che 'nella faccia di costei appaiono cose che mostrano de' piaceri di Paradiso'; e distingue lo loco dove ciò appare, cioè nelli occhi e nello riso. E qui si conviene sapere che li occhi della Sapienza sono le sue dimostrazioni, colle quali si vede la veritade certissimamente; e lo suo riso sono le sue persuasioni, nelle quali si dimostra la luce interiore della Sapienza sotto alcuno velamento: e in queste due cose si sente quel piacere altissimo di beatitudine lo quale è massimo bene in Paradiso.","Il testo dice, quindi, ""che nel suo volto appaiono cose che mostrano alcuni dei piaceri del Paradiso,"" e specifica dove questi appaiono: ai suoi occhi e nel suo sorriso. Si deve spiegare qui che gli occhi della saggezza sono le sue manifestazioni, attraverso le quali la verità si vede con assoluta certezza, e il suo sorriso sono le sue persuasione, in cui la luce interiore alla saggezza si manifesta sotto una sorta di velo. In questi due luoghi l'esperienza è data di quel sublime di piaceri, di felicità, che è il più grande bene goduto in Paradiso."
"Questo piacere in altra cosa di qua giù essere non può, se non nel guardare in questi occhi e in questo riso. E la ragione è questa: che, con ciò sia cosa che ciascuna cosa naturalmente disia la sua perfezione, sanza quella essere non può [l'uomo] contento, che è essere beato; ché quantunque l'altre cose avesse, sanza questa rimarrebbe in lui desiderio: lo quale essere non può colla beatitudine, acciò che la beatitudine sia perfetta cosa, e lo desiderio sia cosa defettiva: ché nullo desidera quello che ha, ma quello che non ha, che è manifesto difetto.","Questo piacere non si trova qui sotto se non nel guardare quegli occhi e quel sorriso. La ragione di questo è la seguente: poiché ogni essere desidera naturalmente la propria perfezione, senza questa perfezione l'uomo non può essere contento, cioè felice. Per quanto abbondantemente egli possa possedere altre cose, senza desiderio di perfezione sarebbe ancora presente in lui, e il desiderio non può coesistere con la felicità, poiché la felicità è qualcosa di perfetto, mentre il desiderio è qualcosa di difettoso, perché nessuno desidera ciò che ha, ma ciò che non ha, che chiaramente comporta un difetto."
"E in questo sguardo solamente l'umana perfezione s'acquista, cioè la perfezione della ragione, dalla quale, sì come da principalissima parte, tutta la nostra essenzia depende; e tutte l'altre nostre operazioni - sentire, nutrire, e tutte - sono per questa sola, e questa è per sé, e non per altre, sì che, perfetta sia questa, perfetta è quella, tanto cioè che l'uomo, in quanto ello è uomo, [v]ede terminato ogni [suo] desiderio, e così è beato.","E' in questo sguardo solo, allora, che si acquista la perfezione umana, cioè la perfezione della ragione, dalla quale, come dalla sua parte più importante, dipende tutta la nostra essenza; e tutte le altre nostre attività (sensazione, nutrizione e tutto il resto) esistono per amore della ragione sola, mentre esiste per se stessa, e non per gli altri', in modo che quando raggiunge la perfezione così, anche, l'essenza dell'uomo in quell'uomo proprio come l'uomo trova ogni desiderio portato a compimento, ed è, quindi, felice."
"E però si dice nel libro di Sapienza: «Chi gitta via la sapienza e la dottrina, è infelice»: che è privazione dell'essere felice. [Essere felice] per l'abito della sapienza séguita che s'acquista, e 'felice [essere]' è 'essere contento', secondo la sentenza del Filosofo. Dunque si vede come nell'aspetto di costei delle cose di Paradiso appaiono. E però si legge nel libro allegato di Sapienza, di lei parlando: «Essa è candore della etterna luce e specchio sanza macula della maestà di Dio».","E così il Libro della Sapienza dichiara: ""Chi scaccia via la sapienza e l'apprendimento è infelice,"" cioè è privato di essere felice. Ne consegue che si arriva ad essere felici attraverso il possesso abituale della saggezza; ed essere felici è accontentarsi, secondo il filosofo. È chiaro, allora, come nel volto di quella donna appaiono cose che dicono qualcosa del Paradiso. Così troviamo quello stesso Libro della Sapienza che parla di lei in questi termini: ""È la luminosità della luce eterna e lo specchio impeccabile della maestà di Dio."""
"Poi, quando si dice: Elle soverchian lo nostro intelletto, escuso me di ciò, che poco parlar posso di quelle per la loro soperchianza. Dove è da sapere che in alcuno modo queste cose nostro intelletto abbagliano, in quanto certe cose [si] affermano essere, che lo 'ntelletto nostro guardare non può, cioè Dio e la etternitate e la prima materia: che certissimamente si veggiono e con tutta fede si credono essere, e pur quello che sono intender noi non potemo, se non cose negando si può apressare alla sua conoscenza, e non altrimenti.","Quando il poema continua: Essi travolgono il nostro intelletto, mi scuso per il fatto che posso dire poco su queste cose, perché sono travolgenti. Qui si deve spiegare che in un certo modo questi abbagliano il nostro intelletto, in quanto affermano l'esistenza di certe cose su cui il nostro intelletto non può guardare, cioè, Dio, l'eternità e la materia primaria: possiamo percepire con assoluta certezza e credere con totale fiducia che esistono, ma non possiamo capirle cogliendo ciò che sono; è solo a modo di negazione che si può avvicinarsi alla conoscenza di loro, e non altrimenti."
"Veramente può qui alcuno forte dubitare come ciò sia, che la sapienza possa fare l'uomo beato, non potendo a lui perfettamente certe cose mostrare; con ciò sia cosa che 'l naturale desiderio sia [nel]l' uomo di sapere, e sanza compiere lo desiderio beato essere non possa.","Tuttavia, a questo punto, una persona può seriamente chiedersi come può essere che la saggezza può rendere l'uomo felice, se non può mostrargli perfettamente certe cose, poiché il desiderio naturale dell'uomo è quello di conoscere, e non può essere felice se quel desiderio non è soddisfatto."
"A ciò si può chiaramente rispondere che lo desiderio naturale in ciascuna cosa è misurato secondo la possibilitade della cosa desiderante: altrimenti anderebbe in contrario di se medesimo, che impossibile è; e la Natura l'averebbe fatto indarno, che è anche impossibile.","A questo si può dare la chiara risposta che il desiderio naturale in tutto è conforme alla capacità della cosa che desidera; altrimenti la cosa si impegnerebbe in modo contrario al proprio essere, che è impossibile; e la natura l'avrebbe resa vana, che è anche impossibile."
"In contrario anderebbe: ché, desiderando la sua perfezione, desiderrebbe la sua imperfezione; imperò che desiderrebbe sé sempre desiderare e non compiere mai suo desiderio (e in questo errore cade l'avaro maladetto, e non s'acorge che desidera sé sempre desiderare, andando dietro al numero impossibile a giugnere). Averebbe[lo] anco la Natura fatto indarno, però che non sarebbe ad alcuno fine ordinato. E però l'umano desiderio è misurato in questa vita a quella scienza che qui avere si può, e quello punto non passa se non per errore, lo quale è di fuori di naturale intenzione.","Essa si impegnerebbe in maniera contraddittoria, perché desiderando la propria perfezione vorrebbe la propria imperfezione, perché vorrebbe desiderare sempre e mai soddisfare il proprio desiderio (che è l'errore in cui cade il maledetto miser: non riconosce che desidera desiderare sempre, cercando un numero impossibile da raggiungere). Inoltre, la natura lo avrebbe fatto invano, perché non sarebbe stato diretto ad alcun fine. Il desiderio umano, di conseguenza, si misura in questa vita secondo quella conoscenza che può essere acquisita qui, e non passa mai quel punto se non nell'errore, che è qualcosa di estraneo all'intenzione della natura."
"E così è misurato nella natura angelica e terminato, in quanto, in quella sapienza che la natura di ciascuno può apprendere. E questa è la ragione per che li Santi non hanno tra loro invidia, però che ciascuno aggiugne lo fine del suo desiderio, lo quale desiderio è colla bontà della natura misurato. Onde, con ciò sia cosa che conoscere di Dio, e di certe altre cose, quello esso è, non sia possibile alla nostra natura, quello da noi naturalmente non è desiderato di sapere. E per questo è la dubitazione soluta.","Nella natura angelica il desiderio è misurato allo stesso modo, ed è limitato proprio a quella saggezza che la natura di ciascuno è capace di catturare. È anche per questo motivo che i santi non si invidiano l'un l'altro, perché ognuno raggiunge la fine del proprio desiderio, e questo desiderio è commisurato alla qualità della sua bontà. Poiché, allora, è impossibile per la nostra natura conoscere di Dio ciò che Egli è (lo stesso vale per alcune altre cose), questo non è qualcosa che noi naturalmente desideriamo conoscere. In questo modo il puzzle è risolto."
