Original,Translate_EN,Translate_IT_1
"Or ti dirò, figluola mia cortese,","“Now I’ll tell you, my noble daughter,","Ora vi dirò, mia nobile figlia,"
"Po’ che parlar   possiamo per ligire,",since we can speak freely,dal momento che possiamo parlare liberamente
"E più arditamente, ver vo’ dire,","and more boldly, I must admit,","e più coraggiosamente, devo ammettere,"
"Che•nnoi non solavàn, quest’è palese.",than we were accustomed to do (this is evident).,che eravamo abituati a fare.
"Tu sì sa’ ben ch’i’ son d’istran paese,","You know well that I’m from a foreign country,","Sai bene che io vengo da un paese straniero,"
"E, s’i’ son messa qui per te nodrire,",and that I’m here to educate you:,e che io sono qui per educarvi:
"Sì ti priego, figluola, che•tt’atire","thus, my daughter, I beg you to prepare yourself","così, figlia mia, ti prego di prepararti"
In saper guadagniar   ben tue spese.,to learn how to earn your board and keep.,per imparare a guadagnare la tua tavola e mantenere.
Non ch’i’ te dica ch’i’ voglia pensare,Let me say that I don’t intend,Permettetemi di dire che non intendo
"Che•ttu d’Amor per me sie ’nviluppata,",for you to become entangled in love’s snares because of me;,per farti impigliare nelle insidie dell'amore a causa mia;
Ma tuttor sì te voglio ricontare,but I want to tell you all the same,Ma voglio dirvi lo stesso.
"La via ond’io dovrè’ esser andata,","about the road I should have taken,","sulla strada che avrei dovuto percorrere,"
"E ’n che maniera mi dovea menare,",and how I should have behaved,e come avrei dovuto comportarmi
Anzi che mia bieltà fosse passata.,before my beauty had faded away”,prima che la mia bellezza fosse svanita
