Original,Translate_EN,Translate_IT_1
"Tutti quanti le vann’ogi blasmando,","“Nowadays all men go around cursing women,","Oggi tutti gli uomini vanno in giro a maledire le donne,"
E ciaschedun sì le ’ntende a ’ngannare:,and each one plots to deceive them:,"e ognuno trama per ingannarli,"
Così ciascuna di noi dé pensare,and thus each one of us must devise ways,e così ognuno di noi deve escogitare vie
A far che•lla Richeza i metta bando.,to have Wealth banish them from her realm.,per farli bandire dal suo regno da Wealth.
E non dobiamo andar   il cuor ficando,And we must not put our heart,E non dobbiamo mettere il nostro cuore
"In un sol luogo, ma dobiàn pensare","only in one place, but think","solo in un posto, ma pensare"
"In che maniera gli possiàn pigliare,",of ways to ensnare them,di modi per intrappolarli
E girgli tutti quanti dispogliando.,and take away all their wealth.,e porta via tutte le loro ricchezze.
"La femina dé aver amici molti,","A woman must have many lovers,","Una donna deve avere molti amanti,"
"E di ciascun si dé prender su’ agio,",and from each of them she must get what’s coming to her,e da ciascuno di loro lei deve ottenere ciò che le viene
E far   sì c’uon gli tenga per istolti;,and do it in such a way that they’re taken for fools;,e lo fanno in modo che siano presi per gli stolti;
"E far   lor vender la tore, e ’l palagio,","she must make them sell their tower and palace,","deve far loro vendere la loro torre e il loro palazzo,"
"O casa, o casolari, o vero i colti,","or home or farm or even their cultivated lands,","o la casa o l'azienda agricola o anche le loro terre coltivate,"
Sì che ciascun ci viva a gran misagio.,so that they all live in great discomfort.”,in modo che tutti vivono in grande disagio.
