Original,Translate_EN,Translate_IT_1
"Astinenza Costretta, la primera,","First of all, Forced Abstinence","Prima di tutto, l'astinenza forzata"
"Sì si vestì di roba di renduta,","put on a nun’s habit,","indossare un abito da monaca,"
"Velata che non fosse conosciuta,",complete with veil that she might not be recognized;,completo di velo che potrebbe non essere riconosciuto;
Con un i•man faciea preghera;,she held a psalter in her hands and prayed.,Teneva in mano un salterio e pregava.
"La ciera sua non parea molto fera,",Her face did not seem very fierce;,Il suo volto non sembrava molto feroce;
Anz’era humile e piana divenuta.,"indeed, it had become humble and modest;","anzi, era diventato umile e modesto;"
Al una filza avea penduta,"she had attached a rosary to her psalter,","aveva attaccato un rosario al suo salterio,"
"Di paternostri, e ’l laccio di fil iera;",and it was tied with thread.,ed era legato con filo.
Ed i•mano un bordone di ladorneccio,And in her hand she carried,E nella sua mano portava
"Portava, il qual le donò ser Baratto:","a thief’s staff, which Ser Deceit had given her:","uno staff di ladri, che Ser Deceit le aveva dato:"
"Già non era di melo, né di leccio:",it was not made of apple wood or of oak;,non era fatto di legno di mela o di quercia;
"Il suocier le l’avea tagliato, e fatto;",her father-in-law had cut and fashioned it for her.,Suo suocero l'aveva tagliata e modellata per lei.
La scarsella avea piena di forneccio.,Her purse was full of stolen goods.,La sua borsa era piena di merce rubata.
Ver’ Mala-Bocca andò per darli matto.,She went towards Bad Mouth to checkmate him.,E' andata verso Bad Mouth per scaccomarlo.
