Original,Translate_EN,Translate_IT_1
"Di buon’ morselli i’ sì m’enpio la pancia,","“With tasty morsels I fill my belly,","Con gustosi bocconi mi riempio la pancia,"
"E, s’e’ si truova al mondo di buon vino,","and, if there’s any good wine in this world,","e, se c'è del buon vino in questo mondo,"
"E’ convien ch’i’ me ne enpia lo bolino,",I must fill my gut with it;,Devo riempire il mio istinto con esso;
"Ad ag’io   vo’ star più che ’l re di Francia,",for I want to live in greater comfort than the King of France!,Perche' voglio vivere in conforto piu' grande del Re di Francia!
Ché gli altru’ fatti so’ tutti una ciancia,Other people’s business is a joke,Altre persone sono affari scherzi
"Verso de’ mie’, ch’e’ son mastro divino,","compared to mine, for I am a master of theology","rispetto al mio, perché io sono un maestro di teologia"
"E le cose sacrete m’indovino,","and have foreknowledge of sacred things,","e abbiate conoscenza delle cose sacre,"
E tutto ’l mondo peso   a mia bilancia.,and I weigh all earthly things in my scale.,e peso tutte le cose terrene nella mia scala.
"Ancor vo’ da le gienti tal vantagio,","Still, I want people to recognize my privilege","Comunque, voglio che la gente riconosca il mio privilegio."
"Ch’i’ vo’ riprender, sanz’esser ripreso,",to admonish without being admonished;,ammonire senza essere ammoniti;
"Ed è ben dritto, ch’i’ sono ’l più sagio,","and it’s quite right, for I’m the smartest!","ed è abbastanza di destra, per io di I diluisce il più intelligente!"
"S’i’ porto tuttor sotto l’arco teso,",Beneath my cloak I always carry a drawn bow,Sotto il mio mantello porto sempre un arco tirato
"Per dar a quel cotal male e damagio,",to do harm and injury to anyone,fare del male e del danno a chiunque
Che ’n gastigar vi stesse punto inteso».,who might wish to give me the slightest reprimand.”,che potrebbe volermi dare il minimo rimprovero.
