Original,Translate_EN,Translate_IT_1
"«Molte salute, madonna, v’aporto","“My Lady, I bring you many greetings","Mia Signora, vi porto molti saluti"
Dal vostro figluolo; e’ priegavi per Dio,"from your son, who begs you, in the name of God,","da tuo figlio, che ti supplica, nel nome di Dio,"
"Che ’l socoriate, od egli è in punto rio,","that you help him, or else he is in serious trouble,","che tu lo aiuti, altrimenti lui è in guai seri,"
Ché Gielosia   gli fa troppo gran torto;,because Jealousy is giving him many problems.,perché la gelosia gli sta dando molti problemi.
Ch’e’ nonn-à guar ched e’ fu quasi morto,A short while ago he was almost killed,Poco tempo fa è stato quasi ucciso.
"In una battaglia, nella qual fu’ io.","in a battle, in which I too took part.",in una battaglia alla quale anch'io ho partecipato.
"Ancor si par ben nel visagio mio,",My face still clearly shows,La mia faccia mostra ancora chiaramente
Che molto mi vi fu strett’ed atorto».,that I was in the thick of battle.”,che ero nello spessore della battaglia.
"Allor Venusso fu molto crucciata,",Then Venus became enraged,Venere si infuriò
E disse ben che•lla forteza fia,and said that very soon,e ha detto che molto presto
Molto tosto per lei tutta ’nbraciata;,she will set the fortress on fire;,appiccherà il fuoco alla fortezza;
"Ed, a malgrado ancor di Gielosia,","and despite the efforts of Jealousy,","e nonostante gli sforzi della gelosia,"
Ella serà per terra rovesciata:,the fortress will be destroyed:,la fortezza sarà distrutta:
"«No•lle varrà già guardia, che vi sia!».",no guard whatsoever will be able to save it.,nessuna guardia potrà salvarla.
