Original,Translate_IT
Ora era onde 'l salir non volea storpio;,Per fare il suo corso attraverso l'acqua più liscia
ché 'l sole avëa il cerchio di merigge,"la piccola corteccia del mio spirito ora arrampica la sua vela,"
lasciato al Tauro e la notte a lo Scorpio:,lasciando alle spalle quel mare crudele.
"per che, come fa l'uom che non s'affigge","Ora canterò il secondo regno,"
"ma vassi a la via sua, che che li appaia,","là dove l'anima dell'uomo è purificata,"
"se di bisogno stimolo il trafigge,",resa degna di ascendere al Cielo.
"così intrammo noi per la callaia,","Qui dai morti la poesia si alzi,"
uno innanzi altro prendendo la scala,"O Muse sacre, da quando sono vostra."
che per artezza i salitor dispaia.,Lasciate che Calliope si alzi.
E quale il cicognin che leva l'ala,per accompagnare la mia canzone con quegli stessi accordi
"per voglia di volare, e non s'attenta",la cui forza colpì così le miserabili magpie
"d'abbandonar lo nido, e giù la cala;","che, ascoltando, hanno perso ogni speranza di perdono."
tal era io con voglia accesa e spenta,"Colore dolce dello zaffiro orientale,"
"di dimandar, venendo infino a l'atto",aleggiando nell'aspetto calmo e tranquillo
che fa colui ch'a dicer s'argomenta.,"d'aria intervenente, pura all'orizzonte,"
"Non lasciò, per l'andar che fosse ratto,",mi sono compiaciuto ancora una volta dei miei occhi
"lo dolce padre mio, ma disse: “Scocca",non appena ho lasciato l'aria morbosa
"l'arco del dir, che 'nfino al ferro hai tratto”.",che aveva afflitto sia il mio petto che gli occhi.
Allor sicuramente apri' la bocca,"Il pianeta giusto che incoraggia l'amore,"
e cominciai: “Come si può far magro,"sorridente, illuminato a est,"
là dove l'uopo di nodrir non tocca?”.,velando i pesci nel suo treno.
“Se t'ammentassi come Meleagro,"Mi voltai a destra e, fissando la mia attenzione"
"si consumò al consumar d'un stizzo,","sull'altro polo, ho visto quattro stelle"
"non fora”, disse, “a te questo sì agro;","non visti, ma dai primi sulla terra."
"e se pensassi come, al vostro guizzo,",Il cielo stesso sembrava gioire
"guizza dentro a lo specchio vostra image,",nel loro splendente luccichio. O vedova
ciò che par duro ti parrebbe vizzo.,"regione del nord, negata quella vista!"
"Ma perché dentro a tuo voler t'adage,","Una volta che ho attirato il mio sguardo da loro,"
ecco qui Stazio; e io lui chiamo e prego,girare a malapena verso l'altro polo
che sia or sanator de le tue piage”.,"dove era posta la costellazione del fiume,"
"“Se la veduta etterna li dislego”,","Ho visto accanto a me un vecchio, da solo,"
"rispuose Stazio, “là dove tu sie,",che dal suo aspetto era così meritevole di rispetto
discolpi me non potert'io far nego”.,che nessun figlio deve di più a suo padre.
"Poi cominciò: “Se le parole mie,","La sua barba era lunga e striata di bianco,"
"figlio, la mente tua guarda e riceve,","come i suoi capelli, che cadde"
lume ti fiero al come che tu die.,in doppi fili fino al petto.
"Sangue perfetto, che poi non si beve",I raggi di quelle quattro stelle sante
"da l'assetate vene, e si rimane",adornava il suo viso con tanta luce
"quasi alimento che di mensa leve,",Sembrava splendere con la luminosità del sole.
prende nel core a tutte membra umane,"Quali anime sei tu per essere fuggito dall'eterna prigione,"
"virtute informativa, come quello",arrampicarsi contro il ruscello oscuro e nascosto?
ch'a farsi quelle per le vene vane.,"chiese, scuotendo quelle venerate serrature."
"Ancor digesto, scende ov'è più bello",'Chi era la tua guida o chi la tua lanterna
tacer che dire; e quindi poscia geme,per condurvi fuori da quella notte profonda
sovr'altrui sangue in natural vasello.,quale ripida la valle dell'Inferno nelle tenebre?
"Ivi s'accoglie l'uno e l'altro insieme,","Le leggi dell'abisso sono così infrante,"
"l'un disposto a patire, e l'altro a fare","o è stato fatto un nuovo decreto in cielo,"
per lo perfetto loco onde si preme;,"che, dannazione, stai davanti alle mie scogliere?"""
"e, giunto lui, comincia ad operare",Il mio capo mi ha poi contattato.
"coagulando prima, e poi avviva",e con le sue parole e segni e con le sue mani
ciò che per sua matera fé constare.,"mi ha fatto mostrare riverenza con il ginocchio e la fronte,"
Anima fatta la virtute attiva,"Allora gli rispose: ""Non sono venuto da solo."
"qual d'una pianta, in tanto differente,",Una donna discesa dal Cielo e su sua richiesta
"che questa è in via e quella è già a riva,",Ho prestato a quest'uomo compagnia e aiuto.
"tanto ovra poi, che già si move e sente,",Ma siccome è la tua volontà che dico chiaramente
come spungo marino; e indi imprende,"la vera condizione della nostra presenza qui,"
ad organar le posse ond'è semente.,Non puo' essere che io neghi il tuo desiderio.
"Or si spiega, figliuolo, or si distende","Quest'uomo non ha ancora visto il suo ultimo tramonto,"
"la virtù ch'è dal cor del generante,",ma attraverso la sua follia era così vicino ad esso
dove natura a tutte membra intende.,Il suo tempo era quasi finito.
"Ma come d'animal divegna fante,","- Gli fui mandato, come ho detto,"
"non vedi tu ancor: quest'è tal punto,",per la sua liberazione.
"che più savio di te fé già errante,",Ma questo poteva essere salvato.
sì che per sua dottrina fé disgiunto,Gli ho mostrato tutta la razza colpevole.
"da l'anima il possibile intelletto,",e ora intende fargli vedere quegli spiriti
perché da lui non vide organo assunto.,che si purificano sotto la tua responsabilità.
Apri a la verità che viene il petto;,Come l'ho condotto ci metterei molto a dirlo.
"e sappi che, sì tosto come al feto",Scendendo dall'alto un potere mi aiuta
"l'articular del cerebro è perfetto,","per portarlo qui, perché possa vederti e sentirti."
lo motor primo a lui si volge lieto,"Che possiate dare il benvenuto al suo arrivo,"
"sovra tant'arte di natura, e spira","dal momento che è in cerca di libertà, che è così caro,"
"spirito novo, di vertù repleto,",come ben sa chi dona la sua vita per essa.
"che ciò che trova attivo quivi, tira","Lo sai bene, dalla morte a Utica."
"in sua sustanzia, e fassi un'alma sola,","non sembrava amaro, là dove te ne sei andato"
che vive e sente e sé in sé rigira.,l'abito che splenderà in quel grande giorno.
"E perché meno ammiri la parola,","'Non da noi sono gli eterni editti rotti,"
"guarda il calor del sol che si fa vino,","perché quest'uomo vive e Minos non mi lega,"
giunto a l'omor che de la vite cola.,ma io sono del cerchio dove la tua Marcia
"Quando Làchesis non ha più del lino,","'Implora con i suoi occhi casti, o santo seno,"
"solvesi da la carne, e in virtute",che pensi ancora a lei come a te.
ne porta seco e l'umano e 'l divino:,"Per amore di lei, allora, ti supplico,"
