Original,Translate_IT
"S'ïo avessi le rime aspre e chiocce,",Avevo le rime crude e scrannel per adattarle
come si converrebbe al tristo buco,il buco malinconico su cui tutti
"sovra 'l qual pontan tutte l'altre rocce,","le altre falesie circuite convergono e riposano,"
io premerei di mio concetto il suco,il succo della mia concezione sarebbe stato pressato
"più pienamente; ma perch'io non l'abbo,","più pienamente; ma perché sento la loro mancanza,"
non sanza tema a dicer mi conduco;,"Mi metto a parlare, ma parlo con paura;"
ché non è impresa da pigliare a gabbo,"perché non è un compito da prendere in scherzo,"
"discriver fondo a tutto l'universo,",per mostrare la base di tutto l'universo
né da lingua che chiami mamma o babbo.,"né per una lingua che grida: ""mamma,"" ""papà."""
Ma quelle donne aiutino il mio verso,Ma che quelle signore ora sostengano il mio verso
"ch'aiutaro Anfïone a chiuder Tebe,","che ha aiutato Amphion quando ha murato Tebe,"
sì che dal fatto il dir non sia diverso.,in modo che la mia storia non differisce dal fatto.
Oh sovra tutte mal creata plebe,"O rabbio, miscreato oltre tutti gli altri,"
"che stai nel loco onde parlare è duro,","là nel posto del quale è difficile parlare,"
mei foste state qui pecore o zebe!,Meglio se qui siete stati capre o pecore!
Come noi fummo giù nel pozzo scuro,"Quando eravamo sotto al buio,"
"sotto i piè del gigante assai più bassi,","sotto i piedi del gigante e ancora più in basso,"
"e io mirava ancora a l'alto muro,","con i miei occhi ancora sul ripido argine,"
dicere udi'mi: “Guarda come passi:,"Ho sentito questo mi ha detto: ""Guarda come si passa;"
"va sì, che tu non calchi con le piante",camminare in modo da non calpestare con le suole
le teste de' fratei miseri lassi”.,"le teste dei tuoi fratelli stanchi e miserabili."""
"Per ch'io mi volsi, e vidimi davante","In questo mi voltai e vidi davanti a me,"
e sotto i piedi un lago che per gelo,"sotto i miei piedi, un lago che, ghiacciato,"
avea di vetro e non d'acqua sembiante.,aveva perso l'aspetto dell'acqua e sembrava vetro.
Non fece al corso suo sì grosso velo,"Il Danubio dove scorre in Austria,"
"di verno la Danoia in Osterlicchi,","il Don sotto il suo cielo ghiacciato, non hanno mai"
"né Tanaï là sotto 'l freddo cielo,",fatto per il loro corso così spesso un velo in inverno
com'era quivi; che se Tambernicchi,"come c'era qui, perché aveva il monte Tambernic"
"vi fosse sù caduto, o Pietrapana,","o la montagna di Pietrapana vi si schiantò sopra,"
non avria pur da l'orlo fatto cricchi.,Nemmeno sul bordo avrebbe scricchiolato.
E come a gracidar si sta la rana,E come la rana gracchiante si siede con la sua museruola
"col muso fuor de l'acqua, quando sogna","sopra l'acqua, nella stagione in cui"
"di spigolar sovente la villana,","la contadina sogna spesso di spigolare,"
"livide, insin là dove appar vergogna","così, livido nel ghiaccio, fino al luogo"
"eran l'ombre dolenti ne la ghiaccia,","dove la vergogna può manifestarsi, erano quelle sfumature tristi,"
mettendo i denti in nota di cicogna.,i cui denti chiacchieravano con note come cicogne.
Ognuna in giù tenea volta la faccia;,Ognuno ha mantenuto la sua faccia piegata verso il basso costantemente;
"da bocca il freddo, e da li occhi il cor tristo","le loro bocche testimoniano il freddo che provavano,"
tra lor testimonianza si procaccia.,così come i loro occhi proclamavano i loro cuori dispiaciuti.
"Quand'io m'ebbi dintorno alquanto visto,","Quando mi guardai intorno per un po', i miei occhi"
"volsimi a' piedi, e vidi due sì stretti,","si voltò verso i miei piedi e vide due serrati così vicini,"
che 'l pel del capo avieno insieme misto.,i capelli sulle loro teste si erano intrecciati.
"“Ditemi, voi che sì strignete i petti”,","""Dimmi, tu il cui petto è così stretto,"""
"diss'io, “chi siete?”. E quei piegaro i colli;","Ho detto: ""Chi sei?"" Si sono piegati il collo,"
"e poi ch'ebber li visi a me eretti,","e quando mi alzarono la faccia,"
"li occhi lor, ch'eran pria pur dentro molli,","i loro occhi, che piangevano per terra,"
"gocciar su per le labbra, e 'l gelo strinse",versare lacrime sulle loro labbra fino al freddo
le lagrime tra essi e riserrolli.,tennero veloci le lacrime e chiuse i loro coperchi ancora di più.
Con legno legno spranga mai non cinse,Nessun morsetto ha mai fissato plancia a plancia
forte così; ond'ei come due becchi,"così stretto; e a causa di questo, si smisero"
"cozzaro insieme, tanta ira li vinse.","l'uno come due arieti, tale era la loro furia."
E un ch'avea perduti ambo li orecchi,E uno da cui il freddo aveva preso entrambi
