Original,Translate_EN,Translate_IT_1
Tutto pien d’umiltà verso ’l giardino,Full of meekness I turned back,Pieno di mansuetudine mi voltai indietro
"Torna’mi, con’ Amico avea parlato,","towards the garden, as Friend had said I should,","verso il giardino, come l'Amico aveva detto che avrei dovuto,"
"Ed i’ guardai, e sì ebi avisato",and I looked and so I saw,e guardai e vidi
"Lo Schifo, con un gran baston di pino,","Resistance, with a large club made of pine,","Resistenza, con un grande club fatto di pino,"
"Ch’andava riturando ognie camino,","who was blocking off every passageway,","che bloccava ogni passaggio,"
Che dentro a forza non vi fosse ’ntrato.,so that I could not go inside.,in modo che non potessi entrare.
"Sì ch’io mi trassi a lui, e salutato","Thus, I approached and greeted him","Così, mi avvicinai e lo salutai"
"Umile mente l’ebi a capo chino,","meekly with my head bowed down,","mansuetamente con la testa piegata,"
"E sì gli dissi: «Schifo, agie merzede","and said to him: “Resistance, have mercy","e gli disse: Resistenza, abbi pietà"
"Di me, se ’nverso te feci alcun fallo,","on me, if I have done you any wrong,","su di me, se ti ho fatto del male,"
"Chéd i’ sì son venuto a pura fede,",for I have come in good faith,perché sono venuto in buona fede
"A tua merzede,   e presto d’amendarlo».","to ask your mercy, and am ready to make amends.”","per chiedere la vostra misericordia, e sono pronto a fare ammenda."
"Que’ mi riguarda, e tuttor si provede","He stares at me and, as he does, tries to determine","Mi fissa e, come fa, cerca di determinare"
Ched i’ non dica ciò per inghanarlo.,if I’m saying this to deceive him.,se lo dico per ingannarlo.
