Original,Translate_EN,Translate_IT_1
Lo Dio d’Amor per tutto ’l regnio manda,Throughout the kingdom the God of Love sends,In tutto il regno il Dio dell'Amore manda
Messagi e lettere a la Baronia:,messengers and letters to all the barons;,messaggeri e lettere a tutti i baroni;
"Che davanti da lui ciaschedun sia,",some he entreats and others he commands,alcuni supplica e altri comanda
"Ad alcun priega, e ad alcun comanda;",that they come to him.,che vengono da lui.
"E ch’e’ vorrà far lor una domanda,","He will wish to make a request of them,","Egli vorrà fare loro una richiesta,"
"La qual fornita converrà che•ssia,",a request that must be fulfilled:,una richiesta che deve essere soddisfatta:
"D’abatter il castel di Gielosia,","to bring down Jealousy’s castle,","per abbattere il castello di Gelosia,"
Sì ch’e’ non vi dimori inn-uscio banda.,so that not one iron band remains on the door.,in modo che non una fascia di ferro rimane sulla porta.
"Al giorno ciaschedun si presentò,","On the great day, everyone presented himself,","Nel grande giorno, tutti si presentarono,"
Presto di far il su’ comandamento;,ready to do the God of Love’s command:,pronti a fare il Dio dell'Amore che comanda:
Dell’armadure ciaschedun pensò,each one gave thought to the arms,ognuno ha riflettuto sulle braccia
Per dar a Gielosia   pene e tormento.,to give Jealousy pain and torment.,per far soffrire e tormentare la gelosia.
"La Baronia   i’ sì vi nomerò,",I will name the Barons for you,Ti darò un nome ai Baroni.
Secondo ched i’ ò   rimenbramento.,insofar as I remember them.,nella misura in cui li ricordo.
