Original,Translate_IT
La concubina di Titone antico,"Ora colei che condivide il letto del vecchio Titono,"
"già s'imbiancava al balco d'orïente,","abbandonando le braccia del suo dolce amante,"
fuor de le braccia del suo dolce amico;,è cresciuto bianco lungo il balcone orientale;
"di gemme la sua fronte era lucente,",i cieli di fronte a lei brillavano
poste in figura del freddo animale,con gemme incastonate nella parvenza del freddo
che con la coda percuote la gente;,animale che assalisce gli uomini con la coda;
"e la notte, de' passi con che sale,",mentre la notte all'interno della valle dove eravamo
"fatti avea due nel loco ov'eravamo,","si era mosso attraverso due dei gradini che si arrampica,"
e 'l terzo già chinava in giuso l'ale;,e ora il terzo passo ha fatto inclinare le ali della notte;
"quand'io, che meco avea di quel d'Adamo,","quando io, che ho partorito qualcosa di Adamo con me,"
"vinto dal sonno, in su l'erba inchinai","sentire il bisogno di dormire, sdraiarsi"
là 've già tutti e cinque sedavamo.,l'erba dove ora tutti e cinque eravamo seduti.
Ne l'ora che comincia i tristi lai,A quell'ora quasi al mattino quando la rondine
"la rondinella presso a la mattina,","inizia le sue canzoni malinconiche, forse"
"forse a memoria de' suo' primi guai,","in memoria delle sue antiche sofferenze,"
"e che la mente nostra, peregrina","quando, liberi di vagare lontano dalla carne"
"più da la carne e men da' pensier presa,","e meno tenuto veloce dalle cure, il nostro intelletto"
"a le sue visïon quasi è divina,",le immaginazioni diventano quasi divine...
in sogno mi parea veder sospesa,in sogno mi sembrava di vedere un'aquila pronta
"un'aguglia nel ciel con penne d'oro,","con pignoni d'oro, nel cielo: le sue ali"
con l'ali aperte e a calare intesa;,erano aperti; era pronto a scivolare giù.
ed esser mi parea là dove fuoro,E mi sembrava di essere lì dove Ganimede
"abbandonati i suoi da Ganimede,",ha abbandonato la sua famiglia quando lui
quando fu ratto al sommo consistoro.,fu rapito per l'alto concistoro.
Fra me pensava: 'Forse questa fiede,"In me stesso ho pensato: ""Questa aquila può"
"pur qui per uso, e forse d'altro loco",essere usato per la caccia solo qui; i suoi artigli
disdegna di portarne suso in piede'.,rifiutare di portare verso l'alto qualsiasi preda
"Poi mi parea che, poi rotata un poco,","trovato altrove."" Poi mi sembrò che, ruotando"
